onset	duration	item	rotation	accuracy	reaction_time
10.0231	1	C2	0	1	0.99125
14.0613	1	C4	0	n/a	n/a
16.1005	1	C1	0	1	0.72043
20.1387	1	C4	0	1	1.3719
22.1779	1	C3	0	1	0.9235
26.2162	1	C1	90	0	1.5822
30.2544	1	C3	0	1	0.75761
32.2936	1	C2	90	1	1.1591
36.3318	1	C5	0	1	0.68124
38.371	1	C4	0	0	1.4331
40.4101	1	C2	90	1	1.0939
44.4484	1	C4	0	0	0.83886
46.4875	1	C5	0	1	1.2714
52.5249	1	C2	0	1	0.65759
54.5641	1	C5	0	1	0.56859
56.6032	1	C4	90	0	0.90634
60.6415	1	C3	0	1	0.62785
62.6806	1	C2	0	1	0.58066
66.7189	1	C1	0	1	0.78163
68.758	1	B5	0	0	1.303
70.7972	1	B4	0	n/a	n/a
72.8363	1	B3	0	1	1.0575
75.2752	1	B2	0	1	0.53695
77.3144	1	B1	0	1	1.0297
79.3535	1	A5	0	1	0.89258
83.3918	1	A4	0	1	0.99881
85.4309	1	A3	90	0	1.0292
89.4692	1	A2	90	0	1.0295
93.5075	1	A1	0	1	1.179
99.5449	1	C5	0	1	0.86838
105.5823	1	A1	0	1	1.1186
107.6215	1	A2	0	1	0.93581
109.6606	1	A5	0	1	0.90358
111.6997	1	A3	0	n/a	n/a
113.7389	1	A2	0	n/a	n/a
119.7763	1	A1	0	1	1.0293
123.8146	1	A4	0	1	0.93543
125.8537	1	A5	0	1	0.73468
129.892	1	B1	0	1	1.2278
135.9294	1	B2	90	1	1.2147
139.9677	1	B1	0	1	1.0454
144.006	1	B2	0	1	0.72102
150.0434	1	B4	0	1	1.2187
154.0817	1	B3	0	1	0.85856
160.1191	1	B5	0	1	1.1827
164.1574	1	B4	0	1	0.63321
166.1965	1	B3	0	1	0.57767
172.2339	1	B2	0	n/a	n/a
174.2731	1	B1	0	1	0.73339
180.3105	1	A5	0	1	0.89634
184.3488	1	A4	0	1	0.8187
190.3862	1	A3	0	1	1.4024
196.4236	1	A2	0	1	1.1348
198.4627	1	A1	0	1	1.2485
200.5019	1	C5	0	1	1.0657
204.5402	1	C4	0	1	1.6256
208.5784	1	C3	0	1	0.819
212.6167	1	C2	0	0	1.3244
216.655	1	C1	0	0	1.7599
222.6924	1	B5	0	1	1.1546
226.7307	1	B4	0	1	0.79371
228.7698	1	B2	0	1	0.70866
230.809	1	B5	0	1	0.71726
232.8481	1	C1	0	1	0.85379
234.8872	1	C2	0	1	1.0294
238.9255	1	C1	0	1	1.2317
242.9638	1	C4	0	0	1.5775
249.0012	1	C3	0	1	1.4758
251.0404	1	C2	0	1	0.60618
253.0795	1	C1	90	0	1.0293
255.1186	1	C3	0	1	0.80617
261.156	1	C1	0	n/a	n/a
263.1952	1	C2	90	1	0.016442
265.2343	1	C3	90	0	0.84975
271.2717	1	C5	0	0	1.1986
273.3109	1	A1	0	1	1.1501
277.3491	1	A2	0	1	1.2632
281.3874	1	A3	0	n/a	n/a
283.4265	1	A4	0	1	0.75732
287.4648	1	A5	0	1	1.2872
291.5031	1	B1	0	1	0.96757
295.5414	1	B2	0	1	0.88721
299.5797	1	B3	90	0	1.2591
303.6179	1	B4	0	1	1.0292
309.6554	1	B5	0	1	0.84721
311.6945	1	C1	0	1	1.6786
317.7319	1	C2	0	1	1.1785
322.6099	1	C3	0	1	1.4067
328.6473	1	C4	0	1	1.6376
332.6856	1	C5	0	n/a	n/a
334.7247	1	A1	0	1	1.3755
338.763	1	C5	0	1	1.1382
342.8012	1	C4	0	1	1.2462
348.8387	1	C3	0	1	0.92789
354.8761	1	C5	0	1	0.67398
356.9152	1	C3	0	1	0.83605
358.9544	1	C5	0	1	0.7869
360.9935	1	C2	90	1	1.0618
363.0326	1	C5	0	1	0.91135
367.0709	1	C4	0	1	0.97287
371.1092	1	C1	0	1	1.2231
375.1475	1	C4	0	1	1.1633
377.1866	1	C1	0	1	0.93869
381.2249	1	C3	0	n/a	n/a
387.2623	1	C2	0	1	0.51173
393.2997	1	C3	0	n/a	n/a
397.338	1	C4	0	n/a	n/a
401.3763	1	C5	90	n/a	n/a
403.4154	1	A1	90	n/a	n/a
405.4545	1	A2	0	1	0.66557
411.492	1	A3	0	0	1.6176
417.5294	1	A4	0	1	1.4208
419.5685	1	A5	90	0	0.86298
423.6068	1	B1	0	1	0.84074
427.6451	1	B2	0	1	0.75235
433.6825	1	B3	0	1	1.4375
435.7216	1	B4	0	1	1.1788
441.7591	1	B5	90	1	1.2396
445.7973	1	C1	0	0	0.98444
451.8348	1	C2	0	n/a	n/a
453.8739	1	C3	0	1	0.78616
459.9113	1	C5	0	1	1.6242
463.9496	1	C4	90	1	1.233
469.987	1	C5	0	n/a	n/a
472.0262	1	C2	0	n/a	n/a
476.0645	1	C1	0	1	0.54076
478.1036	1	C4	0	1	1.0779
484.141	1	C1	0	1	1.163
490.1784	1	B5	0	1	1.3653
494.2167	1	B4	0	1	1.5107
498.255	1	B3	0	1	0.81381
500.2941	1	B1	0	1	0.862
504.3324	1	A5	0	n/a	n/a
506.3715	1	A2	0	1	1.2683
512.409	1	A3	0	n/a	n/a
514.4481	1	A4	0	n/a	n/a
516.4872	1	A5	0	1	0.30106
