onset	duration	item	rotation	accuracy	reaction_time
10.0173	1	A2	0	1	1.1007
12.0564	1	A1	0	1	0.74759
14.0955	1	A3	0	1	1.1416
16.1347	1	A1	90	0	0.82922
22.1721	1	A3	0	1	1.0283
24.2112	1	A4	0	1	0.85637
26.2503	1	A5	0	1	0.72418
30.2886	1	B1	0	1	0.82938
36.3261	1	B2	0	1	0.72064
38.3652	1	B3	0	1	0.7692
44.4026	1	B4	0	1	1.2659
48.4409	1	B5	0	1	0.93035
52.4792	1	C1	0	1	1.1009
54.5183	1	C2	0	1	2.0611
58.5566	1	C3	0	1	0.95289
62.5949	1	C4	0	1	0.7529
66.6332	1	C5	0	1	0.82944
70.6714	1	A1	90	1	0.87802
76.7089	1	A2	0	1	1.0323
78.748	1	A3	0	1	0.79307
84.7854	1	A5	0	1	0.61209
88.8237	1	A3	0	1	0.77341
90.8628	1	A2	0	1	0.83724
94.9011	1	A3	0	1	1.3054
96.9402	1	A2	0	1	0.84881
100.9785	1	A5	0	1	0.62717
105.0168	1	A4	0	1	0.67606
111.0542	1	A2	90	1	1.1251
115.0925	1	A1	0	1	0.92863
117.1316	1	A2	0	1	1.1295
123.1691	1	A4	0	1	1.0285
127.2074	1	A5	0	1	0.76603
129.2465	1	A4	0	1	0.84555
133.2848	1	A1	90	1	0.8863
137.323	1	A3	0	1	0.89883
141.3613	1	A2	90	0	0.67559
147.3987	1	A1	0	0	0.99087
153.4362	1	C5	0	1	0.86583
155.4753	1	C4	0	1	0.77627
157.5144	1	C3	0	1	1.1863
159.5536	1	C2	0	1	0.74808
163.5919	1	C1	0	1	0.88598
165.631	1	B5	0	1	0.74845
169.6693	1	B4	0	1	0.76892
173.7075	1	B3	0	1	0.85058
175.7467	1	B2	90	1	0.85835
181.7841	1	B1	0	1	0.67566
187.8215	1	A5	0	1	0.65675
191.8598	1	A4	0	1	0.74555
195.8981	1	A3	0	1	0.603
197.9372	1	A1	0	1	0.95533
203.9747	1	C5	0	1	0.86255
210.0121	1	C4	0	1	0.72915
212.0512	1	C2	0	1	0.68979
216.0895	1	C3	0	1	0.72944
218.1286	1	C2	0	1	0.95519
224.166	1	C5	90	1	1.101
230.2435	1	C3	0	1	0.90603
236.2809	1	C2	0	1	0.65999
242.3183	1	C1	90	n/a	n/a
244.3575	1	C3	0	1	1.1531
250.3949	1	C5	0	1	0.74759
256.4323	1	C3	0	1	0.70197
260.6705	1	C2	90	0	0.62061
264.7088	1	C5	0	1	0.7982
270.7462	1	C4	0	1	0.85948
274.7845	1	C3	0	1	0.84266
280.8219	1	C2	90	1	1.1754
282.861	1	C1	0	1	0.91223
284.9002	1	B5	0	1	0.83888
288.9385	1	B4	0	1	0.81833
292.9767	1	B3	0	1	0.85992
295.0159	1	B2	0	1	0.71018
297.055	1	B1	0	1	0.99145
299.0941	1	A5	0	1	0.80732
305.1316	1	A4	0	1	0.73045
307.1707	1	A3	0	1	0.85662
309.2098	1	A2	0	0	1.1211
311.249	1	A1	0	1	0.6293
315.2872	1	C5	0	1	1.0687
321.3247	1	C2	0	1	1.0566
325.3629	1	C4	0	1	0.63517
329.4012	1	C5	0	1	0.81073
331.4404	1	C4	0	1	0.67647
333.4795	1	C5	90	0	0.6036
337.5178	1	C3	90	1	1.182
343.5552	1	C2	0	1	0.79392
345.5943	1	C1	0	1	0.92889
349.6326	1	B5	0	1	0.6697
351.6717	1	C1	0	1	0.65201
355.71	1	C4	0	1	0.67756
361.7474	1	C5	0	1	0.75951
363.7866	1	C3	0	1	0.65688
365.8257	1	C1	90	n/a	n/a
369.864	1	C2	0	n/a	n/a
371.9031	1	C3	0	1	0.67034
377.9405	1	C4	0	1	0.73776
379.9797	1	C5	90	1	0.93668
386.0171	1	A1	90	1	1.0364
390.0554	1	A2	90	n/a	n/a
392.0945	1	A3	0	1	1.0525
396.1328	1	A4	0	1	0.78237
400.1711	1	A5	0	1	0.79501
406.2085	1	B1	0	1	0.77887
412.2459	1	B2	0	1	0.65482
416.2842	1	B3	0	1	1.0323
420.3225	1	B4	0	1	0.85945
422.3616	1	B5	0	1	0.66558
426.3999	1	C1	0	n/a	n/a
428.439	1	C2	0	n/a	n/a
432.4773	1	C1	0	1	1.0484
434.5165	1	B5	0	1	0.69675
438.5547	1	B3	0	1	0.65618
440.5939	1	B1	0	1	0.69746
446.6313	1	B2	0	1	1.0929
448.6704	1	B4	0	1	1.0524
452.7087	1	B3	0	1	0.84684
458.7461	1	B4	0	1	1.1292
462.7844	1	B2	0	1	1.2052
466.8227	1	B4	0	n/a	n/a
472.8601	1	B3	0	1	0.72929
474.8992	1	B4	0	1	1.4013
476.9384	1	B5	0	1	1.1153
478.9775	1	C1	0	1	0.94634
483.0158	1	C4	0	1	0.64472
489.0532	1	C5	0	1	1.0283
493.0915	1	A1	90	1	1.0807
499.1289	1	A2	90	1	1.1095
503.1672	1	A3	0	1	0.89541
507.2055	1	A4	0	1	0.86518
511.2438	1	A5	0	1	0.66468
513.2829	1	B1	90	0	0.73587
515.322	1	B2	0	1	0.87339
519.3603	1	B3	0	1	0.73141
523.3986	1	B4	0	1	0.78887
529.436	1	B5	0	1	0.80916
533.4743	1	C1	0	1	0.92263
535.5134	1	C2	90	1	1.3067
539.5517	1	C3	0	1	0.91102
541.5908	1	C4	0	1	0.6688
543.63	1	C1	0	1	0.69614
545.6691	1	C4	0	1	0.63167
547.7082	1	C1	90	0	0.85015
551.7465	1	C4	90	1	0.89928
555.7848	1	C3	0	1	0.78611
561.8222	1	C1	0	1	0.83125
563.8613	1	C3	0	1	0.65636
569.8988	1	C4	0	1	0.83236
571.9379	1	C5	0	1	0.85033
575.9762	1	A1	0	1	0.80629
578.0153	1	C5	0	1	0.70214
580.0545	1	C4	0	1	0.83132
582.0936	1	C3	0	1	0.74944
586.1319	1	C1	0	0	0.87961
592.1693	1	C4	0	1	0.67373
594.2084	1	C5	0	1	0.85225
596.2476	1	A1	0	1	0.66162
600.2858	1	A2	0	0	0.95157
606.3233	1	A3	0	1	1.1696
610.3616	1	A4	0	1	1.0282
