onset	duration	item	rotation	accuracy	reaction_time
10.0229	1	C5	0	1	0.74996
14.0611	1	A1	0	1	0.57581
18.0994	1	C5	0	1	0.65595
24.1368	1	C2	0	1	0.69686
26.176	1	C3	0	1	0.62692
32.2134	1	C5	0	1	0.70941
38.2508	1	C2	0	1	0.69082
40.29	1	C4	0	1	0.8269
42.3291	1	C1	0	1	0.78874
44.3682	1	B5	0	1	0.78689
48.4065	1	B3	0	1	0.62838
54.4439	1	B5	90	1	0.8867
58.4822	1	B2	0	1	0.62697
60.5214	1	B1	0	1	0.79253
64.5596	1	B2	0	1	0.53908
66.5987	1	B1	90	1	1.0295
68.6379	1	A5	0	1	0.88621
72.6762	1	A4	0	1	0.75267
76.7144	1	A3	0	1	0.68037
82.7519	1	A2	0	1	0.81367
84.791	1	A1	0	1	0.83499
90.8284	1	C5	90	1	0.79311
94.8667	1	C4	0	1	0.84754
100.9041	1	C3	90	1	0.76252
102.9433	1	C2	0	1	0.68598
108.9807	1	C1	0	1	0.67805
113.019	1	B5	0	1	0.76045
115.0581	1	B4	0	1	0.75984
119.0964	1	B3	0	1	0.98763
123.1347	1	B2	0	1	0.62271
127.173	1	B5	90	1	0.75109
133.2104	1	B4	0	1	0.80922
139.2478	1	B1	0	1	0.9733
145.2852	1	A5	0	1	0.9102
147.3244	1	A3	0	1	0.65515
149.3635	1	A2	0	1	0.67313
151.4026	1	A1	0	1	0.64288
157.4401	1	A4	0	1	1.0295
161.4783	1	A3	0	1	0.80631
163.5175	1	A4	0	1	0.77241
167.5557	1	A3	0	1	0.64755
169.5949	1	A1	0	1	1.0509
175.6323	1	A3	0	1	0.60487
177.6714	1	A5	0	1	0.52356
183.7089	1	A2	0	1	0.63217
187.7471	1	A3	0	1	0.52831
189.7863	1	A4	0	1	0.7994
193.8245	1	A5	90	1	0.8677
199.862	1	B1	0	1	0.79901
201.9011	1	B2	0	1	0.58996
205.9394	1	B3	0	1	0.61003
209.9777	1	B4	0	1	0.79578
216.0151	1	B5	0	1	0.81435
218.0542	1	C1	0	1	1.2136
222.0925	1	C2	0	1	0.97483
224.1316	1	C3	90	1	1.1022
230.1691	1	C4	0	1	0.63681
232.2082	1	C5	0	1	0.5892
234.2473	1	A1	0	1	0.53383
238.2856	1	A2	90	0	0.58995
240.3247	1	A1	0	1	0.62374
244.363	1	A4	0	1	0.74326
246.3888	1	A1	0	1	0.63266
248.4279	1	A4	0	1	0.88776
254.4654	1	A2	0	1	0.71325
258.5036	1	A4	0	1	1.0594
262.5419	1	A1	0	1	1.0638
264.5811	1	C5	0	1	1.0295
268.6193	1	A1	0	1	0.98523
270.6585	1	C5	90	0	0.8646
274.6967	1	C2	0	1	0.53736
280.7342	1	C4	0	1	0.69336
286.7716	1	C1	0	1	0.71222
292.809	1	C4	0	1	0.6033
296.8473	1	C2	0	1	0.57953
300.8856	1	C1	0	1	0.59033
304.9239	1	B5	0	1	0.79305
310.9613	1	B4	0	1	0.75523
316.9987	1	B3	0	1	0.66982
321.037	1	B2	0	1	0.61385
327.0744	1	B1	0	1	0.73021
331.1127	1	A5	0	1	0.72511
337.1501	1	A4	90	1	0.8784
341.1884	1	A3	0	1	0.67919
343.2275	1	A2	0	1	0.65682
347.2658	1	A1	0	1	0.61927
353.3033	1	C5	0	1	0.63616
357.3415	1	C4	0	1	0.74268
363.379	1	C3	0	1	1.0423
365.4181	1	C2	0	1	0.91312
367.4572	1	C1	90	0	0.75621
373.4946	1	B5	90	1	0.73934
377.5329	1	B4	0	1	0.75026
379.5721	1	B5	0	1	1.0936
383.6103	1	C1	0	1	0.68046
387.6486	1	C4	90	1	1.1451
391.6869	1	C2	0	1	0.71552
393.726	1	C3	0	1	0.63655
395.7652	1	C1	0	1	0.56772
397.8043	1	C4	0	1	0.74282
403.8417	1	C5	0	1	0.54726
407.88	1	C2	0	1	0.58118
413.9174	1	C5	90	0	0.6072
417.9557	1	A1	0	1	0.74294
421.994	1	A2	0	1	1.0295
428.0314	1	A1	0	1	0.73335
430.0705	1	C5	0	1	0.58969
434.1088	1	C4	0	1	0.76566
436.148	1	C3	0	1	0.55176
440.1862	1	C2	0	1	0.51262
442.2254	1	C1	0	1	0.61189
446.2636	1	B5	90	1	0.8033
448.3028	1	B4	0	1	0.61947
452.3411	1	B3	0	1	0.97603
458.3785	1	B2	0	1	0.74727
460.4176	1	B1	0	1	0.7137
462.4567	1	A5	0	1	0.81852
464.4959	1	A4	0	1	0.89184
466.535	1	A3	0	1	0.6448
472.5724	1	A2	0	1	0.59324
478.6099	1	A5	0	1	0.60381
482.6481	1	B1	0	1	0.67698
484.6873	1	B3	90	1	1.0937
486.7264	1	B2	0	1	0.59798
492.7638	1	B4	0	1	0.76989
494.803	1	B1	90	0	0.62382
496.8421	1	B4	0	1	0.74688
500.8804	1	B3	0	1	0.70933
502.9195	1	B4	0	1	0.59772
506.9578	1	B1	0	1	0.96577
508.9969	1	B3	90	1	1.0295
513.0352	1	B4	0	1	0.6815
517.0735	1	B2	0	1	0.64318
523.1109	1	B1	0	1	0.83762
527.1492	1	B4	0	1	0.61512
531.1875	1	B3	0	1	0.54316
537.2249	1	B2	0	1	0.59606
539.264	1	B1	90	0	0.53895
545.3015	1	A5	90	1	0.75057
549.3397	1	A4	0	1	0.6783
555.3771	1	A3	0	1	0.62791
559.4154	1	A2	90	0	0.70736
561.4546	1	A1	0	1	0.67777
565.4928	1	C5	0	1	0.77363
569.5311	1	C4	0	1	0.66586
573.5694	1	C3	0	1	0.72209
577.6077	1	C2	0	1	0.70943
579.6468	1	C1	0	1	0.7987
581.6859	1	B5	0	1	0.8638
583.7251	1	B4	0	1	0.7744
585.7642	1	B3	0	1	0.69715
587.8033	1	B4	0	1	0.56999
591.8416	1	B5	0	1	0.62476
593.8807	1	B3	0	1	0.60407
597.919	1	B5	90	0	0.7242
599.9582	1	B4	0	1	0.92713
601.9973	1	B2	0	1	0.64615
604.0364	1	B5	0	1	0.74443
608.0747	1	C1	0	1	0.91484
610.1138	1	C2	0	1	0.6176
