onset	duration	item	rotation	accuracy	reaction_time
10.0819	1	C3	0	1	1.0317
12.1343	1	C5	0	1	1.1031
16.1726	1	C4	90	1	1.1432
18.2117	1	C3	0	1	0.71194
20.2508	1	C4	0	1	0.79323
22.29	1	C1	0	1	0.84097
26.3283	1	C3	90	1	0.74532
30.3665	1	C4	0	1	0.73313
34.4048	1	C3	90	1	0.69574
36.444	1	C4	0	1	0.69717
38.4831	1	C1	0	1	0.77839
40.5222	1	C3	0	1	0.68105
44.5605	1	C5	0	1	1.1395
50.5979	1	C4	0	1	0.85991
54.6362	1	C2	0	1	0.78234
60.6736	1	C3	0	1	0.65663
64.7119	1	C4	0	1	0.836
68.7502	1	C5	0	1	0.605
72.7885	1	A1	0	1	0.77348
76.8267	1	A2	0	0	1.1228
80.865	1	A3	0	1	0.5769
82.9041	1	A4	0	1	0.71359
86.9424	1	A5	0	1	0.87853
88.9816	1	B1	0	1	0.68511
91.0207	1	B2	0	0	0.83871
93.0598	1	B3	0	1	0.82236
97.0981	1	B4	0	1	0.67284
101.1364	1	B5	0	1	0.84245
107.1738	1	C1	0	1	0.74144
109.2129	1	C2	0	1	0.59984
115.2504	1	C1	0	1	0.76952
119.2886	1	B5	90	0	0.89114
123.3269	1	C1	0	1	0.68385
129.3643	1	C3	0	1	0.74955
131.4035	1	C1	0	1	0.72034
137.4409	1	C3	0	1	0.67666
139.48	1	C2	0	1	0.70858
141.5192	1	C4	0	1	0.67729
145.5574	1	C5	90	0	0.92645
149.5957	1	C3	0	1	0.673
151.6349	1	C4	0	1	0.90672
155.6731	1	C1	0	1	0.65741
157.7123	1	C4	0	1	0.65745
163.7497	1	C2	0	1	0.8935
167.788	1	C4	0	1	0.64863
169.8271	1	C5	0	1	0.8653
175.8645	1	A1	0	1	0.858
179.9028	1	A2	0	1	0.963
183.9411	1	A3	0	1	0.76777
187.9794	1	A4	0	1	0.68927
194.0168	1	A5	0	1	0.77941
196.0559	1	B1	0	1	0.81983
198.095	1	B2	0	1	0.82803
202.1333	1	B3	0	1	0.85295
204.1725	1	B4	90	1	1.3193
206.2116	1	B5	0	1	0.85405
212.249	1	C1	0	1	0.87304
216.2873	1	C2	0	1	0.70187
222.3247	1	C3	0	1	0.65302
224.3639	1	C4	0	1	0.72672
230.4013	1	C1	0	1	0.62644
234.4396	1	C2	0	1	0.54923
236.4787	1	C3	0	1	0.65361
240.517	1	C5	90	1	1.1597
242.5561	1	C2	0	1	0.89451
244.5952	1	C3	0	1	0.69477
248.6335	1	C5	0	1	0.67342
250.6726	1	C3	0	1	0.76262
252.7118	1	C2	0	0	0.92576
258.7492	1	C3	90	1	0.82859
262.7875	1	C2	0	1	0.63818
264.8266	1	C5	0	1	0.85719
266.8657	1	C3	0	1	0.69009
270.904	1	C4	0	1	0.77983
274.9423	1	C2	0	1	0.5877
276.9814	1	C1	0	1	0.70167
283.0189	1	B5	0	1	0.86525
285.058	1	B4	0	1	0.6905
289.0963	1	B3	0	1	0.64183
293.1346	1	B2	0	1	0.67028
297.1728	1	B1	0	1	0.65409
301.2111	1	A5	90	0	0.79471
303.2502	1	A4	0	1	0.64164
309.2877	1	A3	0	1	0.77024
311.3268	1	A2	0	1	0.8853
313.3659	1	A1	0	1	0.76595
317.4042	1	C5	0	1	0.69431
321.4425	1	C4	0	1	0.92092
327.4799	1	C3	0	1	0.98744
333.5173	1	C2	0	1	0.72726
337.5556	1	C4	0	1	0.91856
339.5948	1	C1	0	1	0.72711
341.6339	1	C4	0	1	0.63283
347.6713	1	C1	0	1	0.66647
353.7087	1	C4	0	1	0.64719
