onset	duration	item	rotation	accuracy	reaction_time
10.0226	1	B3	0	0	1.0294
12.0618	1	B2	90	1	0.94586
16.1	1	B4	0	1	0.77004
20.1383	1	B5	0	1	0.94122
24.1766	1	C1	0	1	0.81286
28.2149	1	B5	0	1	0.63839
30.254	1	B4	0	1	0.6587
32.2931	1	B3	0	n/a	n/a
36.3314	1	B2	0	1	0.67392
40.3697	1	B1	0	1	1.0373
42.4088	1	A5	0	1	0.74224
44.448	1	A4	90	1	1.0533
46.4871	1	A3	90	1	1.0574
52.5245	1	A2	0	1	1.0296
58.562	1	A1	0	1	1.149
64.5994	1	C5	0	1	0.73395
70.6368	1	C4	90	0	0.9223
74.6751	1	C3	90	1	0.83777
80.7125	1	C2	0	1	0.83814
84.7508	1	C1	0	1	0.73021
88.7891	1	C2	0	1	0.81727
90.8282	1	C5	0	1	0.69768
94.8665	1	C4	0	0	0.78749
96.9056	1	C2	0	1	0.63828
100.9439	1	C4	0	1	0.7916
104.9822	1	C5	90	0	0.93845
109.0205	1	C3	0	0	0.91347
113.0587	1	C4	0	1	0.80304
117.097	1	C2	0	1	0.85471
119.1362	1	C5	0	1	0.75105
123.1744	1	C3	0	1	0.78537
127.2127	1	C2	0	1	0.76068
133.2501	1	C1	0	1	0.76661
137.2884	1	C2	0	1	0.8641
141.3267	1	C1	0	1	0.77042
147.3641	1	C2	90	1	0.81991
149.4033	1	C3	90	1	1.085
153.4415	1	C4	0	0	0.78369
159.479	1	C5	0	1	0.80037
163.5172	1	A1	0	1	0.96963
167.5555	1	A2	0	n/a	n/a
171.5938	1	A3	0	1	0.80589
177.6312	1	A4	0	1	0.92038
181.6695	1	A5	0	1	0.7708
183.7086	1	B1	90	0	1.201
185.7478	1	B2	0	1	0.83745
187.7869	1	B3	0	1	1.2128
193.8243	1	B4	0	1	0.79915
197.8626	1	B5	0	1	0.77469
201.9009	1	C1	90	1	0.93873
203.94	1	C2	90	1	0.9722
205.9791	1	C4	0	1	0.81201
208.0183	1	C2	0	1	0.76692
210.0574	1	C3	0	1	0.76667
214.0957	1	C5	0	1	0.71904
218.134	1	C2	0	1	0.67386
224.1714	1	C1	0	1	1.0293
228.2097	1	C4	0	1	0.84555
230.2488	1	C5	0	1	0.82067
236.2862	1	C2	0	1	0.81714
242.3237	1	C4	0	1	0.73058
248.3611	1	C2	90	0	1.1578
250.4002	1	C5	0	1	0.80684
252.4394	1	C3	90	1	1.0294
254.4785	1	C2	0	1	0.90567
256.5176	1	C3	90	0	0.72268
258.5567	1	C4	0	1	0.75441
260.5959	1	C5	0	1	0.71485
262.635	1	A1	0	1	0.8109
264.6741	1	A2	0	1	1.0374
266.7133	1	A3	90	1	0.88618
268.7524	1	A4	0	1	0.75886
272.7907	1	A5	0	0	0.83062
278.8281	1	B1	0	0	0.89009
282.8664	1	B2	0	1	0.7103
284.9055	1	B3	0	1	0.91842
286.9447	1	B4	90	1	0.95054
288.9838	1	B5	0	1	0.67925
293.0221	1	C1	0	1	0.82656
297.0604	1	C2	0	1	0.826
303.0978	1	C3	90	1	1.1411
305.1369	1	C2	0	1	0.95151
307.176	1	C4	0	1	0.94987
311.2143	1	C2	0	1	0.95328
315.2526	1	C3	0	1	0.94837
321.29	1	C2	0	1	0.71942
327.3275	1	C4	0	1	0.75786
333.3649	1	C2	0	1	0.90736
337.4032	1	C4	0	1	0.66939
343.4406	1	C5	90	1	0.97539
349.478	1	A1	0	1	1.1293
353.5163	1	A3	0	1	0.97198
357.5546	1	A4	0	1	0.75539
361.5929	1	A5	90	1	0.93622
367.6303	1	A3	0	1	0.68146
371.6686	1	A2	0	0	0.85248
375.7068	1	A1	0	1	0.8304
381.7443	1	C5	0	1	0.88812
385.7826	1	C4	0	1	0.83099
387.8217	1	C3	0	1	0.856
389.8608	1	C2	0	1	1.2099
391.8999	1	C1	0	1	0.78771
395.9382	1	B5	90	1	0.81192
401.9757	1	B4	0	1	0.76945
408.0131	1	B3	0	1	0.80945
410.0522	1	B2	0	1	0.76505
414.0905	1	B1	90	0	0.96463
420.1279	1	A5	0	1	0.84536
422.1671	1	A4	90	1	1.0414
428.2045	1	A3	0	1	0.88468
432.2428	1	A1	90	0	0.77257
438.2802	1	C5	0	1	0.88514
440.3193	1	C4	0	1	0.75348
446.3567	1	C1	0	1	0.74574
448.3959	1	C2	0	1	0.84465
454.4333	1	C3	0	1	0.6544
458.4716	1	C1	0	1	0.64169
460.5107	1	C2	0	1	0.69747
464.549	1	C3	0	1	0.62675
470.5864	1	C1	0	1	0.62179
472.6256	1	C4	0	1	0.77367
476.6638	1	C3	0	1	0.87038
478.703	1	C4	0	1	0.73453
484.7404	1	C5	0	1	0.69048
486.7795	1	C2	0	1	0.94869
488.8187	1	C1	90	0	0.78106
494.8561	1	B5	0	1	0.90478
498.8944	1	B4	0	1	1.119
500.9335	1	B3	0	1	0.87477
502.9726	1	B2	0	1	0.7633
507.0109	1	B1	0	0	1.1092
509.05	1	A5	0	1	1.0293
511.0892	1	A4	0	1	1.0853
517.1266	1	A3	0	1	0.82656
521.1649	1	A2	0	1	0.98018
525.2032	1	A1	0	1	0.85355
527.229	1	C5	0	1	0.78832
529.2681	1	C4	0	1	0.82089
531.3072	1	C3	0	1	0.69311
535.3455	1	C2	0	1	0.79096
537.3846	1	C5	0	1	1.1333
