onset	duration	item	rotation	accuracy	reaction_time
10.0181	1	C1	0	1	0.79549
14.0564	1	C2	0	1	0.78749
18.0947	1	C3	0	1	0.76005
20.1338	1	C4	0	1	0.86348
22.173	1	C5	0	1	0.71109
26.2112	1	A1	0	1	0.7873
32.2487	1	A2	0	1	0.7073
34.2878	1	A3	0	1	0.81143
36.3269	1	A4	90	1	1.0454
38.3661	1	A5	0	1	0.78294
44.4035	1	A4	0	1	0.84057
50.4409	1	A1	0	1	0.80351
54.4792	1	A2	0	1	0.73532
60.5166	1	A3	90	1	1.0653
66.5541	1	A1	0	1	0.75504
72.5915	1	A2	0	1	0.99778
76.6298	1	A4	0	1	1.0293
82.6672	1	A3	0	1	0.89143
86.7055	1	A2	0	1	0.82684
88.7446	1	A5	0	1	0.80391
92.7829	1	A2	0	1	0.7439
94.822	1	A3	0	1	0.79122
98.8603	1	A5	0	1	0.70305
102.8986	1	A4	0	1	0.8115
106.9369	1	A3	0	1	0.6914
110.9751	1	A2	0	1	0.97499
117.0126	1	A1	0	0	1.1294
123.05	1	C5	0	1	0.71605
125.0891	1	C4	0	1	0.77053
131.1265	1	C3	0	1	0.67911
137.164	1	C2	90	1	0.94352
139.2031	1	C1	0	1	0.81066
141.2422	1	B5	0	1	0.73125
145.2805	1	B4	0	1	0.7425
147.3196	1	B3	0	1	0.73456
149.3588	1	B2	0	1	0.75106
155.3962	1	B1	0	1	0.99914
157.4353	1	A5	90	1	0.95281
159.4745	1	A4	0	1	0.79368
163.5127	1	A3	0	1	0.73086
167.551	1	A5	0	1	0.84697
169.5902	1	A4	0	1	0.72775
171.6293	1	A5	90	1	0.83086
177.6667	1	A3	0	1	0.78014
179.7058	1	A2	0	n/a	n/a
183.7441	1	A5	0	1	0.73159
187.7824	1	A3	0	1	0.66454
193.8198	1	A5	0	1	0.70445
195.859	1	B1	0	1	1.0295
197.8981	1	B3	90	1	1.1853
199.9372	1	B1	0	1	0.84297
203.9755	1	A5	0	1	0.78908
206.0146	1	A3	0	1	0.68803
208.0538	1	A4	0	1	0.90311
214.0912	1	A3	0	1	0.6997
218.1295	1	A4	0	1	0.70851
222.1678	1	A5	90	1	0.82874
226.206	1	B1	0	1	0.80041
230.2443	1	B2	0	1	0.73695
234.2826	1	B3	0	0	0.88925
236.3217	1	B4	0	1	0.91756
238.3609	1	B5	0	1	0.78894
240.4	1	C1	0	1	0.67724
242.4391	1	C2	0	1	0.70115
248.4766	1	C3	0	1	0.64079
254.514	1	C4	0	1	0.82606
258.5523	1	C5	0	1	0.65214
262.5905	1	A1	0	1	0.79188
264.6297	1	A2	90	1	1.2256
270.6671	1	A3	0	1	0.60933
274.7054	1	A4	90	n/a	n/a
280.7428	1	A3	0	1	0.60538
286.7802	1	A2	0	1	0.66563
288.8194	1	A5	0	1	0.76919
294.8568	1	A2	90	1	0.94971
298.8951	1	A5	0	1	0.80585
304.9325	1	B1	0	1	0.98307
308.9708	1	B3	0	0	1.036
313.0091	1	B1	0	1	0.99687
319.0465	1	B3	0	1	0.91951
325.0839	1	B5	0	1	0.92324
329.1222	1	C1	0	1	0.93297
331.1613	1	C4	0	1	0.84506
337.1988	1	C3	0	1	0.86069
339.2379	1	C5	0	1	0.76855
341.277	1	C4	0	1	0.85795
345.3153	1	C3	0	1	0.61019
347.3544	1	C2	0	1	0.74047
353.3919	1	C1	90	1	0.86806
355.431	1	B5	0	1	0.94163
359.4693	1	B4	0	1	0.7376
363.5075	1	B3	0	1	1.0028
369.545	1	B2	0	1	0.69892
371.5841	1	B1	0	1	1.0777
373.6232	1	A5	0	1	0.68406
375.6624	1	A4	0	1	0.8055
377.7015	1	A3	90	0	0.7612
379.7406	1	A2	90	1	0.95332
383.7789	1	A1	0	1	1.0655
385.8181	1	C5	0	1	0.82663
389.8563	1	C3	0	1	0.71642
395.8938	1	C1	0	1	0.75916
399.932	1	C2	0	1	0.71433
401.9712	1	C4	0	1	0.92853
408.0086	1	C3	0	1	0.55793
412.0469	1	C4	0	1	0.76827
418.0843	1	C3	0	1	0.60099
420.1234	1	C4	0	1	0.80371
424.1617	1	C1	0	1	0.68508
430.1991	1	C3	0	1	0.61616
432.2383	1	C4	0	1	0.77315
438.2757	1	C2	0	1	0.72127
444.3131	1	C5	0	1	0.73372
448.3514	1	C4	0	1	0.85362
450.3905	1	C2	0	1	0.66948
454.4288	1	C3	90	1	0.85785
458.4671	1	C4	0	1	0.79327
462.5054	1	C5	0	1	0.7011
466.5437	1	A1	0	1	0.82958
470.5819	1	A2	0	1	0.8626
472.6211	1	A3	0	1	0.76163
476.6593	1	A4	0	1	0.81833
480.6976	1	A5	0	1	0.74932
486.7351	1	B1	0	1	0.90166
488.7742	1	B2	0	1	0.68577
492.8125	1	B3	0	1	0.80152
498.8499	1	B4	0	1	0.80245
500.889	1	B5	90	1	0.8749
502.9282	1	C1	0	1	0.75036
506.9664	1	C2	0	1	0.90295
513.0039	1	C3	0	1	0.82732
517.0421	1	C5	0	1	0.96256
519.0813	1	C2	0	1	0.86758
523.1196	1	C4	0	1	0.87715
529.157	1	C3	0	1	0.84198
531.1961	1	C1	0	1	0.84193
533.2353	1	B5	0	1	0.84062
537.2735	1	B3	0	1	1.0373
541.3118	1	B2	90	1	0.9746
545.3501	1	B3	0	1	0.86282
547.3892	1	B1	0	1	0.90215
551.4275	1	A5	0	1	0.73711
555.4658	1	A3	0	1	0.91585
559.5041	1	A5	90	1	0.87069
561.5432	1	A3	0	1	0.73378
563.5823	1	A2	0	0	0.84783
565.6215	1	A1	0	1	1.0414
569.6597	1	C5	0	1	0.68252
571.6989	1	C4	0	1	0.77189
