onset	duration	item	rotation	accuracy	reaction_time
10.0219	1	B5	0	1	0.85358
12.061	1	B3	0	1	0.73598
14.1001	1	B4	90	1	0.72859
16.1393	1	B1	90	1	0.88973
20.1775	1	B2	0	1	0.92326
22.2167	1	B1	0	1	0.72165
26.2549	1	A5	0	1	0.72603
28.2941	1	A3	90	1	0.91936
34.3315	1	A5	0	1	0.71266
36.3706	1	A3	0	0	0.89003
42.4081	1	A1	0	1	0.70908
48.4455	1	C5	0	1	0.86224
52.4838	1	C2	0	1	0.82293
58.5212	1	C3	0	1	0.78641
62.5595	1	C4	90	1	0.81893
64.5986	1	C3	0	1	0.70986
68.6369	1	C2	0	1	0.72083
70.676	1	C1	0	1	0.8253
72.7152	1	B5	0	1	0.76943
78.7526	1	B4	0	1	0.67632
82.7909	1	B3	90	1	1.0937
84.83	1	B2	0	1	0.8299
88.8683	1	B1	0	1	0.74438
90.9074	1	A5	0	1	0.69645
94.9457	1	A4	0	1	0.91423
98.984	1	A3	0	1	1.0928
101.0231	1	A2	0	1	0.78181
103.0622	1	A1	0	1	0.66098
107.1005	1	C5	0	1	0.81359
109.1397	1	C4	0	1	0.67969
115.1771	1	C3	0	1	0.7939
117.2162	1	C4	0	1	0.67649
119.2553	1	C2	90	1	0.7882
121.2945	1	C3	0	1	0.69328
123.3336	1	C4	0	1	0.6866
129.371	1	C2	0	1	0.80029
135.4085	1	C3	0	1	0.71421
141.4459	1	C1	90	1	1.0293
145.4842	1	C3	0	1	0.7033
147.5233	1	C4	0	1	0.66675
149.5624	1	C1	0	1	0.88972
155.5999	1	C2	0	1	0.85266
157.639	1	C4	90	1	0.77205
161.6773	1	C2	0	1	0.67942
165.7156	1	C4	0	1	0.68747
167.7547	1	C3	0	1	0.6829
171.793	1	C2	0	1	0.65995
175.8313	1	C1	0	1	0.88482
181.8687	1	B5	0	1	0.73586
187.9061	1	B4	0	1	0.60036
191.9444	1	B3	0	1	0.79426
193.9835	1	B2	0	1	0.65361
196.0227	1	B1	0	1	0.68477
202.0601	1	A5	0	1	0.68865
208.0975	1	A4	90	1	0.88923
210.1366	1	A3	0	1	0.96259
216.1741	1	A2	0	1	0.7564
222.2115	1	A1	0	1	0.90574
226.2498	1	C5	0	1	0.83328
230.2881	1	C4	90	1	0.77277
234.3263	1	C3	0	1	0.72484
240.3638	1	C2	0	1	0.7529
242.4029	1	C1	0	0	1.2107
244.442	1	B5	0	1	0.91373
248.4803	1	B3	90	1	1.1784
252.5186	1	B2	0	1	0.8127
254.5577	1	B3	0	1	0.74384
258.596	1	B4	0	1	0.84925
262.6343	1	B1	0	1	0.71212
266.6726	1	A5	0	1	0.88964
270.7108	1	A4	0	1	0.92641
276.7483	1	A2	0	1	0.87351
278.7874	1	A3	0	1	0.9705
284.8248	1	A2	90	1	0.91466
290.8623	1	A5	0	1	0.80715
294.9005	1	B1	0	1	0.76873
300.938	1	B2	0	1	0.76043
304.9763	1	B3	0	1	1.1655
307.0154	1	B4	0	1	0.74169
309.0545	1	B5	0	1	0.76488
315.0919	1	C1	0	1	0.8502
317.1311	1	C2	0	1	0.73798
319.1702	1	C3	0	1	0.84406
321.2093	1	C4	90	1	0.8329
323.2485	1	C5	90	0	0.86132
