onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0122	1	B4	90	1	0.97241	sub-12_stim-commstruc_B4.jpg
12.0514	1	B1	0	1	0.86943	sub-12_stim-commstruc_B1.jpg
16.0897	1	B4	0	1	0.66053	sub-12_stim-commstruc_B4.jpg
18.1288	1	B5	0	1	0.75744	sub-12_stim-commstruc_B5.jpg
22.1671	1	B3	90	0	0.9346	sub-12_stim-commstruc_B3.jpg
28.2045	1	B4	0	1	0.6278	sub-12_stim-commstruc_B4.jpg
32.2428	1	B5	0	1	0.68352	sub-12_stim-commstruc_B5.jpg
38.2802	1	C1	0	1	0.67195	sub-12_stim-commstruc_C1.jpg
42.3185	1	C2	0	1	0.60874	sub-12_stim-commstruc_C2.jpg
46.3568	1	C3	90	0	1.1373	sub-12_stim-commstruc_C3.jpg
52.3942	1	C4	0	1	0.7105	sub-12_stim-commstruc_C4.jpg
56.4325	1	C5	0	1	0.68	sub-12_stim-commstruc_C5.jpg
62.4699	1	A1	0	1	1.0295	sub-12_stim-commstruc_A1.jpg
66.5082	1	A2	0	1	0.70029	sub-12_stim-commstruc_A2.jpg
72.5456	1	A3	0	1	0.7887	sub-12_stim-commstruc_A3.jpg
78.583	1	A4	0	1	1.0493	sub-12_stim-commstruc_A4.jpg
82.6213	1	A5	0	1	0.73662	sub-12_stim-commstruc_A5.jpg
86.6596	1	B1	0	1	0.70012	sub-12_stim-commstruc_B1.jpg
90.6979	1	B2	0	1	0.69291	sub-12_stim-commstruc_B2.jpg
96.7353	1	B3	0	0	0.91061	sub-12_stim-commstruc_B3.jpg
100.7736	1	B4	0	1	0.59317	sub-12_stim-commstruc_B4.jpg
104.8119	1	B1	90	1	0.95407	sub-12_stim-commstruc_B1.jpg
110.8493	1	B3	0	1	0.86204	sub-12_stim-commstruc_B3.jpg
112.8884	1	B5	0	1	0.94297	sub-12_stim-commstruc_B5.jpg
116.9267	1	B2	0	1	0.72926	sub-12_stim-commstruc_B2.jpg
118.9658	1	B4	0	1	0.70399	sub-12_stim-commstruc_B4.jpg
123.0041	1	B3	0	1	0.93049	sub-12_stim-commstruc_B3.jpg
129.0415	1	B4	0	1	0.67	sub-12_stim-commstruc_B4.jpg
135.079	1	B5	0	1	0.97627	sub-12_stim-commstruc_B5.jpg
137.1181	1	B3	0	1	0.73543	sub-12_stim-commstruc_B3.jpg
143.1555	1	B1	0	n/a	n/a	sub-12_stim-commstruc_B1.jpg
149.1929	1	B2	0	1	0.63212	sub-12_stim-commstruc_B2.jpg
151.2321	1	B1	0	1	0.64044	sub-12_stim-commstruc_B1.jpg
157.2695	1	B2	90	0	1.0974	sub-12_stim-commstruc_B2.jpg
163.3069	1	B3	0	1	0.65032	sub-12_stim-commstruc_B3.jpg
165.3461	1	B4	0	1	0.67081	sub-12_stim-commstruc_B4.jpg
169.3844	1	B5	0	1	0.8152	sub-12_stim-commstruc_B5.jpg
173.4226	1	C1	90	1	1.0293	sub-12_stim-commstruc_C1.jpg
175.4618	1	C2	90	1	0.803	sub-12_stim-commstruc_C2.jpg
179.5	1	C3	0	1	0.95541	sub-12_stim-commstruc_C3.jpg
181.5392	1	C4	0	1	0.78931	sub-12_stim-commstruc_C4.jpg
183.5783	1	C5	0	1	0.83703	sub-12_stim-commstruc_C5.jpg
