onset	duration	item	rotation	accuracy	reaction_time
10.0183	1	A5	0	1	0.82675
14.0566	1	A4	0	1	1.1952
20.094	1	A3	0	1	1.2316
24.1323	1	A5	0	1	1.0014
26.1714	1	B1	0	0	0.91358
28.2105	1	B2	0	1	0.76919
30.2497	1	B3	0	1	0.7293
36.2871	1	B4	90	1	0.93311
38.3262	1	B5	0	1	0.75784
42.3645	1	C1	0	1	0.74388
44.4036	1	C2	0	1	0.72863
50.4411	1	C3	0	1	0.86574
54.4793	1	C4	0	1	1.1423
56.5185	1	C5	0	1	0.51603
60.5568	1	A1	0	1	0.64909
66.5942	1	A2	0	1	0.5928
70.6325	1	A3	90	0	0.65904
76.6699	1	A4	0	1	0.51997
82.7073	1	A5	90	1	0.63262
84.7464	1	B1	0	1	0.75343
90.7839	1	B2	0	1	0.54947
92.823	1	B3	0	1	0.9174
94.8621	1	B5	0	1	0.70329
98.9004	1	B3	0	1	0.69654
100.9395	1	B1	0	0	1.183
106.977	1	B2	0	1	0.62094
111.0153	1	B5	90	0	0.8472
113.0544	1	C1	90	1	1.0616
117.0927	1	B5	0	1	0.64857
119.1318	1	B4	0	1	1.0293
123.1701	1	B3	0	1	0.64859
125.2092	1	B2	0	1	0.80429
129.2475	1	B5	0	1	0.63753
133.2858	1	B4	0	1	0.60542
135.3249	1	B5	0	1	0.72575
137.364	1	B4	0	1	0.78286
139.4032	1	B3	0	1	0.72083
143.4414	1	B2	0	1	0.66559
145.4806	1	B1	90	1	1.0375
151.518	1	A5	0	1	0.83967
157.5554	1	A4	0	1	1.1625
159.5946	1	A3	0	1	0.88117
163.6329	1	A2	90	1	1.0982
167.6711	1	A1	0	1	0.9969
173.7086	1	C5	0	1	0.8623
175.7477	1	C4	0	1	0.97034
179.786	1	C3	0	1	0.94725
183.8242	1	C2	0	1	0.74039
187.8625	1	C1	0	1	0.69259
189.9017	1	B5	90	1	1.1191
193.9399	1	C1	0	1	0.67923
199.9774	1	C4	0	1	0.68179
206.0148	1	C3	0	1	0.67904
210.0531	1	C1	0	1	0.6706
212.0922	1	B5	0	1	0.80198
214.1313	1	C1	0	1	0.7545
218.1696	1	C2	0	1	0.64429
224.207	1	C5	0	1	0.82336
226.2462	1	C3	0	1	0.85517
228.2853	1	C1	0	1	0.984
230.3244	1	C2	0	1	0.69499
236.3619	1	C1	90	1	0.77924
240.4001	1	B5	0	1	0.72274
244.4384	1	C1	0	1	0.67035
250.4759	1	C2	0	1	0.60002
256.5133	1	C1	0	1	0.6276
258.5524	1	B5	0	1	0.8134
264.5898	1	B4	90	1	0.91036
266.629	1	B3	0	1	0.75282
270.6672	1	B2	0	1	0.86405
272.7064	1	B1	0	0	0.85179
274.7455	1	A5	0	1	0.69
280.7829	1	A4	0	1	0.61341
286.8204	1	A3	0	1	0.88897
290.8587	1	A2	0	1	0.91531
293.0444	1	A1	0	n/a	n/a
297.0827	1	C5	90	0	0.96005
301.1209	1	C4	0	1	0.88347
305.1592	1	C3	0	1	0.75898
311.1967	1	C2	0	1	0.80997
313.2358	1	C1	0	1	0.57648
315.2749	1	C3	0	1	0.77106
319.3132	1	C2	0	1	0.81944
325.3506	1	C1	0	1	0.69236
329.3889	1	C2	0	1	0.62963
335.4263	1	C4	0	1	0.79494
341.4638	1	C2	0	1	0.63677
345.502	1	C5	0	1	0.83074
347.5412	1	C4	0	1	0.94403
349.5803	1	C3	0	1	0.79876
351.6194	1	C4	0	1	0.9069
357.6569	1	C3	0	1	0.64453
363.6943	1	C2	0	1	0.61401
367.7326	1	C4	0	1	0.74422
373.77	1	C3	0	1	0.58776
