onset	duration	item	rotation	accuracy	reaction_time
10.0255	1	A3	0	1	0.99248
16.0629	1	A2	0	1	0.81084
22.1003	1	A3	0	1	0.67406
26.1386	1	A1	0	1	0.76436
28.1777	1	C5	0	1	0.90192
34.2152	1	A1	0	1	0.66678
38.2535	1	A2	0	1	0.65043
42.2917	1	A3	0	1	0.72437
44.3309	1	A4	0	1	0.89269
46.37	1	A5	0	1	0.77557
48.4091	1	B1	0	1	1.0645
52.4474	1	B2	0	1	0.92002
58.4848	1	B3	90	1	1.1626
60.524	1	B4	0	1	1.092
66.5614	1	B5	0	1	0.87766
72.5988	1	C1	0	1	0.8653
74.6379	1	C2	0	1	1.0293
78.6762	1	C3	0	1	0.74775
80.7154	1	C4	0	1	0.70802
84.7536	1	C5	0	1	0.72027
88.7919	1	C4	0	1	0.63021
92.8302	1	C1	0	1	0.77973
96.8685	1	C4	0	1	0.74824
98.9076	1	C2	0	1	0.94738
100.9467	1	C4	0	1	0.7831
104.985	1	C2	0	1	0.83761
107.0241	1	C3	0	1	0.78304
111.0624	1	C2	0	1	0.81922
113.1015	1	C1	0	1	1.1078
119.139	1	B5	0	1	0.94814
125.1764	1	B4	90	1	1.0332
129.2147	1	B1	0	0	1.041
135.2521	1	B2	0	1	1.0607
137.2913	1	B4	0	1	0.97139
141.3295	1	B5	0	1	1.0606
147.367	1	B4	90	1	1.0007
149.4061	1	B3	90	1	1.2838
151.4452	1	B2	0	1	1.1232
155.4835	1	B1	0	1	1.1154
161.5209	1	A5	0	1	0.89688
167.5583	1	A4	0	1	1.0294
169.5975	1	A3	0	1	0.76229
175.6349	1	A2	0	1	0.79888
177.674	1	A1	0	1	0.78346
183.7115	1	C5	0	1	0.69821
189.7489	1	C4	0	1	0.64431
195.7863	1	C3	0	1	0.70996
201.8238	1	C2	0	1	0.84783
205.862	1	C1	0	1	0.70579
207.9012	1	B5	0	1	0.84374
209.9403	1	C1	90	1	0.87606
213.9786	1	B5	0	1	0.80403
218.0169	1	B4	0	1	0.69459
222.0551	1	B1	0	1	1.3599
224.0943	1	B3	0	1	0.89005
228.1325	1	B1	0	1	1.092
230.1717	1	B3	0	1	1.1312
232.2108	1	B5	0	1	0.77297
236.2491	1	B2	0	1	0.9768
238.2882	1	B5	0	1	0.76086
242.3265	1	B3	0	1	0.78735
244.3656	1	B5	0	1	0.6652
246.4048	1	C1	0	1	0.6126
250.443	1	C3	0	1	0.71818
254.4813	1	C1	0	1	0.83121
256.5205	1	C2	0	1	1.2334
262.5579	1	C3	0	1	0.89937
266.5962	1	C4	0	1	0.644
272.6336	1	C5	0	1	0.71921
274.6727	1	A1	0	1	1.0293
276.7119	1	A2	0	1	0.673
278.751	1	A3	0	1	0.73882
282.7893	1	A4	0	1	0.86524
284.8284	1	A5	0	1	0.82912
290.8658	1	B1	90	0	0.71888
292.905	1	B2	0	1	1.1741
296.9432	1	B3	90	1	1.0665
302.9807	1	B4	0	1	0.80992
305.0198	1	B5	0	1	0.71616
307.0589	1	C1	90	1	0.8212
309.0981	1	B5	0	1	0.84574
313.1363	1	B2	90	n/a	n/a
315.1755	1	B4	90	1	1.1038
319.2137	1	B3	0	1	0.95292
325.2512	1	B5	0	1	0.86865
329.2895	1	B4	90	1	1.0371
335.3269	1	B5	0	1	0.80936
337.366	1	B2	0	1	0.97683
341.4043	1	B4	0	1	1.0296
347.4417	1	B1	0	1	1.2144
351.48	1	B4	0	1	0.94554
353.5191	1	B1	0	1	0.87105
359.5565	1	B3	0	1	0.87422
363.5948	1	B5	0	1	0.70984
365.634	1	C1	0	1	1.0292
367.6731	1	B5	90	1	1.5903
373.7105	1	B4	0	1	0.99207
377.7488	1	B3	0	1	0.82807
379.7879	1	B2	0	1	1.1788
385.8254	1	B1	90	0	0.68697
391.8628	1	A5	0	1	1.1195
395.9011	1	A4	0	1	0.85976
399.9394	1	A3	0	1	0.763
405.9768	1	A2	0	1	0.67105
410.015	1	A1	0	1	0.83471
414.0533	1	C5	0	1	0.67306
418.0916	1	C4	0	1	0.75002
424.129	1	C3	0	1	1.096
428.1673	1	C2	0	1	1.0645
432.2056	1	C1	0	1	0.71407
436.2439	1	B5	0	1	0.68325
440.2822	1	B2	0	1	1.0292
446.3196	1	B5	0	1	0.7188
450.3579	1	C1	0	1	0.76132
454.3961	1	C2	0	1	0.8675
460.4336	1	C1	0	1	0.62325
464.4718	1	B5	0	1	0.73434
468.5101	1	C1	90	1	0.86757
474.5476	1	C2	0	1	0.81302
476.5867	1	C4	0	1	0.78167
478.6258	1	C5	90	1	1.2376
482.6641	1	A1	0	1	0.77716
488.7015	1	A4	0	1	0.80158
492.7398	1	A3	0	1	0.85242
494.7789	1	A1	0	1	0.89997
498.8172	1	A2	0	1	0.71754
502.8555	1	A3	0	1	0.9751
504.8946	1	A4	90	1	1.249
508.9329	1	A5	0	1	0.88468
514.9703	1	B1	0	1	0.88668
517.0095	1	B2	0	1	0.93274
523.0469	1	B3	0	1	0.76172
525.086	1	B4	0	1	0.91341
527.1252	1	B5	0	1	0.87418
531.1634	1	C1	0	1	0.71688
533.2026	1	C2	0	1	0.73997
535.2417	1	C3	0	1	0.8383
537.2808	1	C4	0	1	0.78283
543.3183	1	C5	0	1	0.73689
547.3565	1	A1	0	1	0.65236
549.3957	1	A3	0	1	0.78662
551.4881	1	A5	0	1	0.77598
555.5264	1	B1	0	1	0.60799
559.5647	1	B3	0	1	0.7714
561.6038	1	B5	0	1	0.83477
563.6429	1	B3	0	1	0.94116
569.6804	1	B1	0	1	0.72638
