onset	duration	item	rotation	accuracy	reaction_time
10.0224	1	A2	0	1	0.53038
12.0615	1	A1	0	1	0.73746
18.0989	1	C5	0	1	1.2603
24.1364	1	C2	0	1	0.9127
28.1746	1	C3	0	1	0.80183
34.2121	1	C2	0	n/a	n/a
36.2512	1	C1	0	1	1.2684
40.2895	1	B5	0	1	1.4464
46.3269	1	B4	0	1	0.7858
48.366	1	B3	0	1	1.6237
52.4043	1	B2	0	1	0.64343
54.4434	1	B1	0	1	1.1791
56.4826	1	A5	0	1	0.82249
62.52	1	A4	0	1	1.5588
68.5574	1	A3	0	n/a	n/a
70.5966	1	A2	0	1	0.70887
76.634	1	A1	0	1	1.1957
80.6723	1	C5	0	1	0.62402
82.7114	1	C4	0	1	1.3046
88.7488	1	C3	0	1	0.61236
94.7863	1	C5	0	1	0.90815
96.8254	1	C2	0	1	0.65611
98.8645	1	C3	90	0	0.87828
100.9037	1	C1	0	1	0.87861
102.9428	1	C3	0	1	0.97685
104.9819	1	C4	0	1	0.84229
107.021	1	C5	0	1	0.89924
113.0585	1	C4	0	1	0.62816
117.0968	1	C3	0	1	0.69341
119.1359	1	C5	0	1	0.54292
123.1742	1	C2	0	1	0.81147
125.2133	1	C3	0	1	0.61218
131.2507	1	C5	0	1	0.62859
133.2899	1	C2	0	1	0.58804
137.3281	1	C3	0	1	0.63258
143.3656	1	C4	0	1	0.93071
149.403	1	C5	0	1	1.4382
155.4404	1	A1	0	1	1.2401
159.4787	1	A2	0	1	0.45811
163.517	1	A3	90	0	0.86629
167.5553	1	A4	0	1	0.80589
169.5944	1	A5	0	1	1.0293
173.6327	1	B1	0	1	0.88789
175.6718	1	B2	0	1	0.68841
177.7109	1	B3	0	1	0.62314
179.7501	1	B4	0	1	0.6562
185.7875	1	B5	0	1	0.65247
189.8258	1	C1	0	1	0.65339
195.8632	1	C2	90	1	0.99387
199.9015	1	C3	0	1	1.5399
205.9389	1	C1	90	0	1.3414
209.9772	1	B5	0	1	0.80767
212.0163	1	B4	0	0	1.0699
216.0546	1	B1	0	1	0.76234
220.0929	1	A5	0	1	0.95624
222.132	1	A2	0	1	0.93157
224.1711	1	A5	0	1	0.66739
228.2094	1	A3	0	1	1.0864
232.2477	1	A4	0	1	0.76124
234.2868	1	A5	0	1	0.66425
236.326	1	A2	0	1	0.80275
238.3651	1	A4	0	1	0.72898
242.4034	1	A1	0	1	0.89222
244.4425	1	C5	90	0	0.92388
248.4808	1	C3	0	1	0.77385
254.5182	1	C4	0	1	0.52808
256.5573	1	C5	0	1	0.65984
258.5965	1	A1	90	0	0.80202
262.6347	1	A2	0	1	0.64416
264.6739	1	A3	90	1	0.97384
266.713	1	A4	0	1	0.66158
272.7504	1	A5	0	1	0.7218
276.7887	1	B1	0	1	0.77862
280.827	1	B2	0	1	0.59711
282.8661	1	B3	90	0	0.51934
286.9044	1	B4	0	1	0.5436
292.9418	1	B5	90	1	1.1297
294.981	1	C1	0	1	0.75419
301.0184	1	C2	0	0	0.92493
305.0567	1	C3	0	1	0.70276
307.0958	1	C2	0	1	0.88056
311.1341	1	C3	90	0	0.74635
313.1732	1	C1	0	0	1.1148
315.2123	1	B5	0	1	0.75459
321.2498	1	B2	0	0	1.22
323.2889	1	B3	0	1	0.73678
327.3272	1	B4	0	1	0.59202
331.3654	1	B5	0	1	0.5365
335.4037	1	B3	0	1	0.65923
341.4412	1	B5	0	1	0.59059
347.4786	1	B2	0	1	0.79917
353.5293	1	B3	0	1	0.55175
357.5676	1	B1	0	1	1.1754
361.6059	1	A5	0	1	0.99384
367.6433	1	B1	0	1	0.68263
369.6825	1	B2	0	1	0.58739
371.7216	1	B3	0	1	0.71918
377.759	1	B4	0	1	0.64218
381.7973	1	B5	0	1	1.2041
385.8356	1	C1	90	1	1.3948
389.8739	1	C2	0	0	0.75646
393.9121	1	C3	0	1	0.64904
399.9496	1	C4	0	1	0.6671
403.9878	1	C5	0	1	0.79546
406.027	1	A1	0	1	1.115
410.0653	1	A2	0	1	0.75947
412.1044	1	A3	0	0	1.0296
414.1435	1	A4	0	1	0.66248
418.1818	1	A5	90	1	0.97085
424.2192	1	B1	0	1	0.73132
426.2583	1	B3	0	1	0.99913
430.2966	1	B4	90	0	0.51844
434.3349	1	B5	90	1	0.84869
438.3732	1	B3	0	0	1.1559
442.4115	1	B2	0	1	0.59628
448.4489	1	B5	0	0	1.0538
452.4872	1	C1	0	1	0.91197
456.5255	1	C4	0	n/a	n/a
462.5629	1	C1	0	1	0.89255
464.602	1	C4	0	n/a	n/a
470.6394	1	C1	0	1	1.0294
474.6777	1	C4	0	1	1.0021
478.716	1	C2	90	1	1.0293
482.7543	1	C1	0	0	0.8916
488.7917	1	C3	0	1	0.79076
490.8308	1	C2	90	1	0.89732
494.8691	1	C1	0	1	0.91323
500.9065	1	B5	0	1	0.9502
502.9457	1	B4	0	1	0.86064
506.9839	1	B3	0	1	0.75857
513.0214	1	B2	0	n/a	n/a
515.0605	1	B1	90	0	0.7629
519.0988	1	A5	0	0	0.83606
525.1362	1	A4	0	1	0.86398
529.1745	1	A3	0	0	0.94501
531.2136	1	A2	0	1	0.95352
533.2528	1	A1	90	0	0.82586
539.2902	1	C5	0	1	0.79929
541.3293	1	C4	90	0	1.0862
545.3676	1	C3	0	1	0.6009
547.4067	1	C4	0	1	1.1999
549.4459	1	C1	0	n/a	n/a
551.485	1	C4	0	n/a	n/a
555.5233	1	C5	0	1	1.0702
557.5624	1	A1	0	n/a	n/a
561.6007	1	A2	0	1	0.74265
563.6398	1	A3	0	1	0.55204
565.6789	1	A2	0	1	0.86438
569.7172	1	A3	0	1	0.70689
571.7563	1	A4	0	1	0.72358
575.7946	1	A2	0	1	0.81267
577.8338	1	A1	0	n/a	n/a
581.872	1	A3	0	0	0.85369
587.9095	1	A2	90	0	0.55277
591.9477	1	A5	0	1	0.88376
593.9869	1	B1	0	1	0.81289
600.0243	1	B2	0	1	0.61736
604.0626	1	B3	0	1	0.81851
610.1	1	B4	0	1	0.70656
614.1383	1	B5	0	1	0.71136
