onset	duration	item	rotation	accuracy	reaction_time
10.0222	1	C5	0	1	0.70305
16.0596	1	C4	0	1	0.72754
20.0979	1	C2	0	1	0.732
22.137	1	C5	0	1	0.46884
24.1761	1	C3	0	1	0.53343
26.2153	1	C1	0	1	0.51506
28.2544	1	C2	0	0	0.01639
30.2935	1	C1	0	1	0.88751
34.3318	1	C3	0	1	0.61498
38.3701	1	C5	0	1	0.90404
42.4084	1	C3	0	1	0.59528
44.4475	1	C2	0	1	0.55051
46.4866	1	C1	90	0	0.4383
50.5249	1	C2	0	1	0.72773
52.564	1	C3	0	1	0.63055
56.6023	1	C2	0	1	0.89698
62.6398	1	C1	90	1	1.0697
64.6789	1	B5	0	1	0.63576
70.7163	1	B4	0	1	0.73496
72.7554	1	B3	0	1	0.60701
78.7929	1	B2	0	1	0.85973
84.8303	1	B1	0	1	0.69547
86.8694	1	A5	0	0	0.93626
92.9069	1	A4	0	1	0.88297
96.9451	1	A3	0	1	0.99483
100.9834	1	A2	0	n/a	n/a
105.0217	1	A1	0	1	0.72709
109.06	1	C5	0	1	0.46208
113.0983	1	C4	0	1	0.48226
117.1365	1	C3	0	1	0.48462
121.1748	1	C4	0	1	0.48676
123.214	1	C2	0	1	0.79883
129.2514	1	C1	0	1	0.60118
131.2905	1	B5	0	1	0.56089
135.3288	1	B4	0	1	0.56214
141.3662	1	B3	90	0	0.64753
145.4045	1	B4	0	1	0.79034
151.4419	1	B2	0	1	0.75473
155.4802	1	B5	0	1	0.47645
161.5176	1	B3	0	1	0.7659
163.5568	1	B2	0	1	0.95292
169.5942	1	B1	0	1	0.85654
173.6325	1	B3	90	1	0.85269
179.6699	1	B1	0	1	0.58158
181.709	1	B4	0	1	0.64726
183.7482	1	B3	0	1	0.58208
185.7873	1	B2	0	1	0.54517
187.8264	1	B1	0	1	0.64273
189.8656	1	A5	0	1	0.78828
191.9047	1	A4	0	1	0.61192
195.943	1	A3	0	1	1.0295
199.9812	1	A2	0	1	0.88076
206.0187	1	A1	0	1	0.8243
208.0578	1	C5	0	1	0.63467
212.0961	1	C4	0	1	0.77173
214.1352	1	C3	0	1	0.58219
216.1743	1	C2	0	1	0.66307
222.2118	1	C1	0	1	0.8802
224.2509	1	B5	0	1	0.5626
228.2892	1	B4	0	1	0.76104
234.3266	1	B3	0	1	0.82896
238.3649	1	B4	0	1	0.93517
240.404	1	B5	90	n/a	n/a
244.4423	1	B3	0	1	0.61634
248.4806	1	B5	0	1	0.73914
254.518	1	C1	90	0	0.47043
258.5563	1	C4	0	1	0.69502
260.5954	1	C5	0	1	0.63859
266.6328	1	A1	0	1	0.95677
272.6703	1	A2	0	1	0.87932
274.7094	1	A5	0	1	0.87129
280.7468	1	A4	0	0	0.85638
286.7843	1	A2	0	1	0.64333
288.8234	1	A1	0	1	0.5746
292.8617	1	A2	0	1	0.61427
294.9008	1	A3	0	1	0.49481
296.9399	1	A4	0	1	0.52694
300.9782	1	A5	90	0	0.54704
303.0173	1	B1	0	1	0.6985
309.0548	1	B2	0	1	0.75604
315.0922	1	B3	0	1	1.0736
317.1313	1	B4	90	0	0.83256
319.1705	1	B5	0	1	0.76843
321.2096	1	C1	0	1	0.51522
327.247	1	C2	0	1	1.2304
331.2853	1	C3	90	1	0.79201
333.3244	1	C4	90	1	0.88714
337.3627	1	C5	0	1	0.82517
343.4001	1	A1	0	1	0.83551
345.4393	1	A2	0	1	0.69474
347.4784	1	A1	0	1	0.62224
353.5158	1	A3	0	1	0.64737
357.5541	1	A2	0	1	0.59533
359.5932	1	A4	0	1	0.71415
363.6315	1	A1	0	1	0.93449
365.6707	1	A3	0	1	0.72508
371.7081	1	A1	0	1	0.6402
375.7464	1	A3	90	1	0.96173
377.7855	1	A2	0	1	1.1138
383.8229	1	A1	0	1	0.5984
387.8612	1	A4	0	1	1.0294
389.9003	1	A2	0	1	0.65662
391.9395	1	A1	0	1	0.75225
395.9778	1	A2	90	1	1.0657
398.0169	1	A5	0	1	0.73187
402.0552	1	B1	0	1	0.65242
406.0934	1	B2	0	1	0.62389
408.1326	1	B3	90	1	0.84941
412.1708	1	B4	0	1	1.339
414.21	1	B5	0	1	0.82596
418.2483	1	C1	0	1	0.82946
422.2865	1	C2	0	1	0.5884
426.3248	1	C3	0	1	1.1345
428.364	1	C4	0	1	1.1346
430.4031	1	C5	0	1	0.72838
432.4422	1	A1	0	1	0.92288
436.4805	1	A2	90	0	0.7569
440.5188	1	A3	0	1	0.59921
444.5571	1	A4	0	1	0.74215
448.5953	1	A5	0	1	1.2393
452.6336	1	A2	0	1	0.56877
456.6719	1	A5	0	1	0.64598
462.7093	1	A4	0	1	0.58143
468.7468	1	A3	0	1	0.59343
472.785	1	A1	0	1	0.5941
476.8233	1	A2	0	1	0.83534
478.8624	1	A1	0	1	0.67813
484.8999	1	C5	90	0	0.67395
490.9373	1	C2	0	1	0.75366
492.9764	1	C1	0	1	1.1388
497.0147	1	C2	0	1	0.63837
503.0521	1	C3	0	1	0.78305
507.0904	1	C4	0	1	0.69846
509.1295	1	C5	0	1	0.6518
515.167	1	C2	0	1	0.62072
517.2061	1	C1	0	1	0.6534
519.2452	1	B5	0	1	0.79712
523.2835	1	B4	0	1	0.64779
527.3218	1	B3	0	1	0.56284
533.3592	1	B2	0	1	0.84476
535.3984	1	B1	0	1	0.90289
537.4375	1	A5	0	1	0.81416
543.4749	1	A4	0	1	0.9276
547.5132	1	A3	0	1	0.8434
551.5515	1	A2	0	1	0.57172
555.5898	1	A1	90	1	1.0293
557.6289	1	C5	0	1	0.64856
561.6672	1	C4	0	1	0.71401
567.7046	1	C3	90	1	0.82762
573.742	1	C2	90	1	0.92508
575.7812	1	C3	0	1	0.73561
579.8194	1	C4	0	1	0.68803
583.8577	1	C1	0	1	0.82512
585.8968	1	C2	0	1	0.63412
589.9351	1	C5	0	1	0.86068
595.9726	1	A1	0	1	0.64626
602.01	1	A4	0	1	0.73928
604.0491	1	A1	0	1	0.62083
610.0865	1	A4	0	1	0.5564
612.1257	1	A1	0	1	0.70116
