onset	duration	item	rotation	accuracy	reaction_time
10.0933	1	B3	0	1	1.0316
14.1449	1	B4	0	1	0.92332
18.1832	1	B3	0	1	0.97146
24.2206	1	B2	0	1	0.95913
28.2589	1	B1	0	1	0.87474
30.298	1	A5	0	1	1.0492
34.3363	1	B1	0	1	0.78746
36.3755	1	B3	0	1	0.79747
38.4146	1	B4	0	1	0.80508
40.4537	1	B2	0	1	0.91135
46.4912	1	B1	90	1	0.88781
50.5294	1	B4	90	1	0.98078
56.5669	1	B3	0	1	0.82921
62.6043	1	B2	0	1	0.80751
64.6434	1	B3	0	1	0.73681
68.6817	1	B4	0	1	0.81748
72.72	1	B5	0	1	1.0373
76.7583	1	C1	0	1	0.84446
80.7965	1	C2	0	1	0.76969
82.8357	1	C3	0	1	0.86454
86.8739	1	C4	0	1	0.8179
92.9114	1	C5	0	1	0.78138
98.9488	1	A1	0	1	0.88934
100.9879	1	A2	0	1	0.97056
105.0262	1	A3	0	1	0.92421
109.0645	1	A4	0	1	1.276
113.1028	1	A5	0	1	0.82988
117.141	1	B1	90	1	1.073
119.1802	1	B2	0	1	0.72644
121.2193	1	B3	0	1	0.72852
125.2576	1	B4	90	1	0.87398
127.2967	1	B5	0	1	0.89224
129.3359	1	B4	0	1	0.67856
135.3733	1	B2	0	1	0.74322
137.4124	1	B4	0	1	0.72057
139.4515	1	B2	0	1	0.75923
143.4898	1	B4	0	1	0.6441
147.5281	1	B1	0	1	0.81937
149.5672	1	B3	0	1	0.74868
153.6055	1	B2	90	1	0.88035
157.6438	1	B1	90	0	0.82531
163.6812	1	B4	0	1	0.76487
167.7195	1	B5	0	0	0.91587
169.7586	1	C1	0	1	0.87165
173.7969	1	B5	0	1	0.80859
175.8361	1	B4	0	1	0.69789
179.8743	1	B3	0	1	0.666
185.9117	1	B2	0	1	0.73313
187.9509	1	B1	0	1	0.82234
191.9892	1	A5	0	1	0.65485
196.0275	1	A4	0	1	0.97692
202.0649	1	A3	0	1	1.0452
204.104	1	A2	0	1	0.99829
208.1423	1	A1	0	1	0.74124
210.1814	1	C5	0	1	0.68625
214.2197	1	C4	0	1	0.52264
216.2588	1	C3	0	1	0.7692
220.2971	1	C2	0	1	0.78931
224.3354	1	C1	0	1	0.66992
228.3737	1	B5	0	1	0.73387
232.4119	1	B2	0	1	0.71434
236.4502	1	B3	0	1	0.62639
240.4885	1	B4	90	1	1.0533
244.5268	1	B5	90	1	1.0294
246.5659	1	C1	0	1	0.69455
248.605	1	B5	0	1	0.86453
250.6442	1	B4	0	1	0.91402
252.6833	1	B5	0	1	0.91432
256.7216	1	B4	0	1	0.5954
260.7599	1	B3	90	1	1.0372
266.7973	1	B1	0	1	0.66237
268.8364	1	B4	0	1	0.73456
270.8756	1	B3	0	1	0.82624
274.9138	1	B5	0	1	0.71505
280.9513	1	B2	0	1	0.93282
284.9895	1	B3	0	1	0.57613
291.027	1	B4	0	1	0.61107
297.0644	1	B5	0	1	0.66733
303.1018	1	C1	0	1	0.65539
307.1401	1	C2	0	1	0.88176
311.1784	1	C3	0	1	0.78676
313.2175	1	C4	0	1	0.8603
319.2549	1	C5	0	1	0.90073
325.2924	1	A1	0	1	0.87309
327.3315	1	A2	0	1	0.80151
329.3706	1	A3	0	1	0.72171
333.4089	1	A4	0	1	0.89066
337.4472	1	A5	0	1	0.90888
