onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.024	1	C3	0	1	1.0292	sub-13_stim-commstruc_C3.jpg
14.0623	1	C2	90	1	1.0293	sub-13_stim-commstruc_C2.jpg
20.0997	1	C4	0	1	0.87386	sub-13_stim-commstruc_C4.jpg
26.1371	1	C1	0	1	0.661	sub-13_stim-commstruc_C1.jpg
28.1763	1	B5	0	1	0.93447	sub-13_stim-commstruc_B5.jpg
34.2137	1	B3	0	1	0.76929	sub-13_stim-commstruc_B3.jpg
38.252	1	B5	0	1	0.64169	sub-13_stim-commstruc_B5.jpg
42.2903	1	C1	0	1	0.64385	sub-13_stim-commstruc_C1.jpg
44.3294	1	B5	90	1	0.79688	sub-13_stim-commstruc_B5.jpg
46.3685	1	C1	0	1	0.65231	sub-13_stim-commstruc_C1.jpg
48.4076	1	B5	0	1	0.76582	sub-13_stim-commstruc_B5.jpg
54.4451	1	B3	0	1	0.67275	sub-13_stim-commstruc_B3.jpg
58.4834	1	B2	0	1	0.64065	sub-13_stim-commstruc_B2.jpg
62.5216	1	B1	0	1	0.77834	sub-13_stim-commstruc_B1.jpg
64.5608	1	B4	0	1	0.82998	sub-13_stim-commstruc_B4.jpg
68.599	1	B5	0	1	0.54029	sub-13_stim-commstruc_B5.jpg
70.6382	1	C1	90	1	0.74946	sub-13_stim-commstruc_C1.jpg
72.6773	1	C2	90	1	0.97408	sub-13_stim-commstruc_C2.jpg
76.7289	1	C3	0	1	0.9798	sub-13_stim-commstruc_C3.jpg
78.7681	1	C4	0	1	0.83911	sub-13_stim-commstruc_C4.jpg
80.8072	1	C5	0	1	0.87074	sub-13_stim-commstruc_C5.jpg
82.8463	1	A1	0	1	0.70977	sub-13_stim-commstruc_A1.jpg
86.8846	1	A2	0	1	0.69011	sub-13_stim-commstruc_A2.jpg
88.9237	1	A3	0	1	0.58593	sub-13_stim-commstruc_A3.jpg
90.9629	1	A4	0	1	0.53809	sub-13_stim-commstruc_A4.jpg
95.0011	1	A5	0	1	0.7549	sub-13_stim-commstruc_A5.jpg
101.0386	1	B1	90	0	0.76742	sub-13_stim-commstruc_B1.jpg
105.0768	1	B2	0	1	0.59899	sub-13_stim-commstruc_B2.jpg
109.1151	1	B3	0	1	0.57781	sub-13_stim-commstruc_B3.jpg
113.1534	1	B4	0	1	0.763	sub-13_stim-commstruc_B4.jpg
115.1925	1	B2	0	1	0.71525	sub-13_stim-commstruc_B2.jpg
117.2317	1	B4	0	1	0.68378	sub-13_stim-commstruc_B4.jpg
121.27	1	B1	90	0	0.77697	sub-13_stim-commstruc_B1.jpg
127.3074	1	B3	0	1	0.61907	sub-13_stim-commstruc_B3.jpg
129.3465	1	B4	0	1	0.57018	sub-13_stim-commstruc_B4.jpg
131.3856	1	B2	0	1	0.69767	sub-13_stim-commstruc_B2.jpg
133.4248	1	B1	0	0	1.1708	sub-13_stim-commstruc_B1.jpg
139.4622	1	B2	0	1	0.61693	sub-13_stim-commstruc_B2.jpg
143.5005	1	B3	0	1	0.69821	sub-13_stim-commstruc_B3.jpg
147.5388	1	B2	0	1	0.63324	sub-13_stim-commstruc_B2.jpg
151.577	1	B4	0	1	0.54174	sub-13_stim-commstruc_B4.jpg
153.6162	1	B1	0	1	0.82087	sub-13_stim-commstruc_B1.jpg
157.6544	1	B2	90	1	0.81612	sub-13_stim-commstruc_B2.jpg
163.6919	1	B3	0	1	0.72854	sub-13_stim-commstruc_B3.jpg
165.731	1	B5	0	1	0.73868	sub-13_stim-commstruc_B5.jpg
169.7693	1	C1	0	1	0.89351	sub-13_stim-commstruc_C1.jpg
171.8084	1	C2	0	1	1.0776	sub-13_stim-commstruc_C2.jpg
173.8475	1	C3	0	1	0.70296	sub-13_stim-commstruc_C3.jpg
179.885	1	C4	0	1	0.74547	sub-13_stim-commstruc_C4.jpg
183.9233	1	C5	0	1	0.71225	sub-13_stim-commstruc_C5.jpg
185.9624	1	A1	90	1	0.81798	sub-13_stim-commstruc_A1.jpg
190.0007	1	A2	0	1	0.8277	sub-13_stim-commstruc_A2.jpg
192.0398	1	A3	0	1	0.78803	sub-13_stim-commstruc_A3.jpg
194.0789	1	A4	0	1	1.0293	sub-13_stim-commstruc_A4.jpg
200.1164	1	A5	0	1	0.70303	sub-13_stim-commstruc_A5.jpg
202.1555	1	B1	0	1	0.54674	sub-13_stim-commstruc_B1.jpg
206.1938	1	B2	0	1	0.77155	sub-13_stim-commstruc_B2.jpg
210.232	1	B3	0	1	0.70798	sub-13_stim-commstruc_B3.jpg
216.2695	1	B4	0	1	0.77612	sub-13_stim-commstruc_B4.jpg
218.3086	1	B5	0	1	0.69567	sub-13_stim-commstruc_B5.jpg
220.3478	1	B4	0	1	0.52223	sub-13_stim-commstruc_B4.jpg
222.3869	1	B1	0	1	0.62704	sub-13_stim-commstruc_B1.jpg
224.426	1	B2	0	1	0.67554	sub-13_stim-commstruc_B2.jpg
230.4634	1	B3	0	1	0.61244	sub-13_stim-commstruc_B3.jpg
234.5017	1	B2	0	1	0.63096	sub-13_stim-commstruc_B2.jpg
236.5409	1	B3	0	1	0.60878	sub-13_stim-commstruc_B3.jpg
240.5791	1	B5	90	1	0.8086	sub-13_stim-commstruc_B5.jpg
246.6166	1	B2	0	1	0.97303	sub-13_stim-commstruc_B2.jpg
250.6548	1	B3	90	1	0.77557	sub-13_stim-commstruc_B3.jpg
256.6923	1	B4	0	1	0.82433	sub-13_stim-commstruc_B4.jpg
260.7306	1	B5	0	1	0.66745	sub-13_stim-commstruc_B5.jpg
