onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0172	1	A2	0	n/a	n/a	sub-05_stim-commstruc_A2.jpg
14.0555	1	A4	0	0	0.71916	sub-05_stim-commstruc_A4.jpg
16.0946	1	A1	0	0	0.79163	sub-05_stim-commstruc_A1.jpg
18.1338	1	A4	0	0	0.65046	sub-05_stim-commstruc_A4.jpg
20.1729	1	A1	0	0	0.54804	sub-05_stim-commstruc_A1.jpg
24.2112	1	A2	90	n/a	n/a	sub-05_stim-commstruc_A2.jpg
26.2503	1	A3	0	0	0.65173	sub-05_stim-commstruc_A3.jpg
30.2886	1	A4	0	0	0.62977	sub-05_stim-commstruc_A4.jpg
34.3269	1	A5	0	0	0.75473	sub-05_stim-commstruc_A5.jpg
40.3643	1	B1	0	0	0.89937	sub-05_stim-commstruc_B1.jpg
42.4034	1	B2	0	0	0.68565	sub-05_stim-commstruc_B2.jpg
46.4417	1	B3	0	0	1.0294	sub-05_stim-commstruc_B3.jpg
50.48	1	B4	0	0	0.72712	sub-05_stim-commstruc_B4.jpg
54.5183	1	B5	0	0	0.63253	sub-05_stim-commstruc_B5.jpg
60.5557	1	C1	0	0	0.69988	sub-05_stim-commstruc_C1.jpg
66.5931	1	C2	0	0	0.82432	sub-05_stim-commstruc_C2.jpg
68.6323	1	C3	0	0	0.74422	sub-05_stim-commstruc_C3.jpg
74.6697	1	C4	0	0	0.86776	sub-05_stim-commstruc_C4.jpg
78.708	1	C5	90	n/a	n/a	sub-05_stim-commstruc_C5.jpg
80.7471	1	A1	0	0	0.67495	sub-05_stim-commstruc_A1.jpg
84.7854	1	A2	0	0	0.86092	sub-05_stim-commstruc_A2.jpg
86.8245	1	A5	0	0	0.75962	sub-05_stim-commstruc_A5.jpg
88.8636	1	A2	0	0	0.78433	sub-05_stim-commstruc_A2.jpg
90.9028	1	A3	0	0	0.58574	sub-05_stim-commstruc_A3.jpg
95.1543	1	A1	0	0	0.68766	sub-05_stim-commstruc_A1.jpg
99.1926	1	A4	0	0	0.75159	sub-05_stim-commstruc_A4.jpg
101.2317	1	A5	0	0	0.78625	sub-05_stim-commstruc_A5.jpg
