onset	duration	item	rotation	accuracy	reaction_time
10.0192	1	A5	0	1	0.99445
16.0566	1	B1	0	1	0.79843
20.0949	1	B2	0	1	0.68982
24.1331	1	B3	0	1	0.90021
28.1714	1	B4	0	1	0.89145
32.2097	1	B5	90	1	0.89985
36.248	1	C1	0	1	0.77516
40.2863	1	C2	0	1	0.79436
42.3254	1	C3	0	1	0.80274
44.3645	1	C4	0	1	0.64962
46.4037	1	C1	0	1	0.85117
48.4428	1	C3	0	1	0.75019
52.4811	1	C4	0	1	0.63002
54.5202	1	C2	0	1	0.70943
60.5576	1	C1	0	1	0.75482
62.5968	1	C3	0	1	0.75488
64.6359	1	C4	0	1	0.64968
66.675	1	C3	0	1	0.72571
70.7133	1	C1	0	1	0.90839
72.7525	1	C2	0	1	0.82355
76.7907	1	C3	0	1	0.98462
80.829	1	C1	0	1	1.0444
86.8664	1	C2	0	1	0.90976
90.9047	1	C3	0	1	0.77471
96.9421	1	C2	0	1	0.77038
98.9813	1	C3	90	1	1.0986
101.0204	1	C4	0	1	1.0526
105.0587	1	C5	0	1	1.0365
111.0961	1	A1	0	0	0.7261
113.1352	1	A2	0	1	1.2314
117.1735	1	A3	0	1	0.9235
119.2127	1	A4	0	1	0.83315
123.2509	1	A5	0	1	0.93959
127.2892	1	B1	0	1	0.71121
129.3284	1	B2	0	1	0.74478
131.3675	1	B3	90	1	1.2791
135.4058	1	B4	90	n/a	n/a
139.444	1	B5	0	1	0.97258
141.4832	1	C1	0	1	0.79826
145.5215	1	C2	90	1	1.1173
147.5606	1	C3	0	1	0.87916
151.5989	1	C1	0	1	0.85574
153.638	1	B5	0	1	0.70555
157.6763	1	B3	0	0	0.93213
159.7154	1	B5	0	1	0.81983
161.7545	1	B4	0	1	1.0364
165.7928	1	B1	0	1	0.653
171.8302	1	B2	0	1	0.70584
177.8677	1	B3	90	1	1.1416
181.9059	1	B4	0	1	0.78041
185.9442	1	B5	0	1	0.68711
187.9834	1	C1	0	1	0.72738
194.0208	1	B5	0	1	0.61776
196.0599	1	B4	0	1	0.85746
200.0982	1	B2	0	1	0.6703
204.1365	1	B3	0	1	1.0324
206.1756	1	B4	0	1	0.71889
210.2139	1	B5	0	1	0.73131
214.2522	1	C1	0	0	1.069
216.2913	1	C2	0	1	1.0284
218.3304	1	C3	0	1	0.71526
224.3679	1	C4	0	1	0.72001
228.4061	1	C5	90	1	1.1864
232.4444	1	A1	0	1	0.80457
238.4818	1	A2	90	1	0.80518
242.5201	1	A3	0	1	0.88642
248.5576	1	A4	90	0	0.82645
250.5967	1	A5	0	n/a	n/a
256.6341	1	B1	0	1	0.67083
262.6715	1	B2	0	1	0.80131
264.7107	1	B1	0	1	0.80118
266.7498	1	B2	0	1	0.74426
272.7872	1	B1	0	1	0.76389
276.8255	1	A5	0	1	1.0687
280.8638	1	A3	0	1	0.90427
284.9021	1	A1	0	1	1.1072
290.9395	1	C5	0	1	0.90863
296.9769	1	C3	0	1	0.7281
301.0152	1	C5	0	1	0.8004
305.0535	1	C3	0	1	0.73962
307.0926	1	C5	0	1	0.69134
313.1301	1	A1	0	1	0.95672
315.1692	1	A2	0	1	0.69516
317.2083	1	A4	0	1	0.80638
319.2474	1	A1	0	1	0.57691
323.2857	1	C5	90	0	1.0282
329.3232	1	C4	0	n/a	n/a
335.3606	1	C3	0	1	1.301
339.3989	1	C2	0	1	0.84729
343.4371	1	C1	0	1	0.90531
347.4754	1	B5	0	1	0.69092
353.5129	1	B4	90	1	1.0931
359.5636	1	B3	0	1	0.89869
363.6019	1	B2	0	1	0.67111
367.6402	1	B1	0	1	0.65478
373.6776	1	A5	0	1	0.64217
375.7167	1	A4	0	1	0.66681
377.7559	1	A3	0	1	0.76493
379.795	1	A2	0	1	0.8919
383.8333	1	A1	0	1	0.75635
387.8715	1	A2	90	1	0.8789
389.9107	1	A4	0	1	0.73688
391.9498	1	A2	0	0	0.94747
393.9889	1	A4	0	1	0.84929
396.0281	1	A2	90	1	0.76975
400.0664	1	A1	90	1	0.87886
406.1038	1	A4	0	1	0.63157
408.1429	1	A3	0	1	0.82545
410.1821	1	A4	0	1	0.75255
416.2195	1	A5	0	1	0.71656
422.2569	1	A2	0	1	0.97631
424.296	1	A3	0	1	0.64805
426.3352	1	A4	0	1	0.60721
430.3735	1	A3	0	1	0.73647
436.4109	1	A4	0	1	0.66083
440.4492	1	A3	0	1	0.57527
444.4874	1	A2	0	1	0.70497
450.5249	1	A1	0	1	1.0282
456.5623	1	C5	90	1	1.0936
462.5997	1	C4	0	1	1.0975
468.6372	1	C3	0	1	1.0568
474.6746	1	C2	0	1	0.70842
478.7129	1	C1	0	n/a	n/a
484.7503	1	B5	0	1	0.80232
