onset	duration	item	rotation	accuracy	reaction_time
10.0133	1	A3	0	1	1.2327
16.0507	1	A1	0	1	1.5001
22.0881	1	A3	0	1	1.0378
28.1256	1	A4	90	n/a	n/a
30.1647	1	A2	0	1	1.0419
34.203	1	A1	0	1	1.4756
36.2421	1	C5	0	1	1.2986
42.2795	1	C4	0	1	1.0707
46.3178	1	C3	0	1	1.6241
50.3561	1	C2	0	1	1.2904
56.3935	1	C1	0	1	1.2772
60.4318	1	B5	0	1	1.2533
62.4709	1	B4	0	1	1.2812
64.5101	1	B3	0	1	0.84886
68.5483	1	B2	0	1	0.78483
74.5858	1	B1	0	1	1.0999
78.624	1	A5	0	1	0.99803
84.6615	1	A4	0	1	0.92103
90.6989	1	A3	0	1	0.94789
94.7372	1	A2	0	1	0.7662
100.7746	1	A4	90	1	1.0956
102.8137	1	A3	0	1	1.218
104.8529	1	A4	0	1	1.0584
110.8903	1	A1	0	1	0.97356
116.9277	1	C5	0	1	0.98152
118.9668	1	C3	0	1	1.2875
121.006	1	C2	0	1	1.0295
127.0434	1	C5	90	1	1.0418
133.0808	1	C2	0	1	1.0917
137.1191	1	C4	0	1	1.0295
139.1582	1	C2	0	1	1.2741
143.1965	1	C1	0	1	1.3063
145.2357	1	B5	0	1	0.94506
151.2731	1	B2	0	1	0.89428
155.3114	1	B4	0	1	1.3448
159.3496	1	B5	0	1	0.99158
163.3879	1	C1	0	1	0.91317
167.4262	1	C2	90	1	1.3656
169.4653	1	C3	90	1	1.6208
173.5036	1	C4	90	1	1.1495
175.5427	1	C5	0	1	1.1746
181.5802	1	A1	0	1	1.129
187.6176	1	A2	0	1	1.348
193.655	1	A3	0	1	1.0294
195.6942	1	A4	0	1	1.0296
201.7316	1	A5	0	1	0.88865
207.769	1	B1	0	1	0.81537
209.8081	1	B2	0	1	1.1993
211.8473	1	B3	0	1	0.99229
215.8856	1	B4	0	1	1.2656
219.9238	1	B3	0	1	1.0419
223.9621	1	B4	0	1	1.1503
229.9995	1	B2	0	1	0.91177
234.0378	1	B3	0	1	0.84688
236.077	1	B5	0	1	0.9217
238.1161	1	B4	0	1	1.241
244.1535	1	B1	0	1	0.95825
246.1926	1	A5	0	1	1.3823
248.2318	1	A2	0	1	0.97323
252.2701	1	A5	0	1	0.92193
256.3083	1	B1	0	1	1.0501
260.3466	1	B4	0	1	0.94907
266.384	1	B2	0	1	0.85453
272.4215	1	B1	0	1	1.5521
276.4597	1	B2	0	1	0.75484
280.498	1	B1	0	1	0.77326
284.5363	1	A5	0	1	0.76734
286.5754	1	A4	0	1	0.7649
292.6129	1	A3	0	1	1.1206
298.6503	1	A2	0	1	0.89127
300.6894	1	A1	90	n/a	n/a
302.7285	1	C5	0	1	1.4606
304.7677	1	C4	0	1	1.3927
306.8068	1	C3	90	1	1.368
312.8442	1	C2	0	1	0.99608
314.8834	1	C1	0	1	0.97691
316.9225	1	B5	0	1	1.3402
320.9608	1	B4	0	1	1.2377
322.9999	1	B3	0	1	0.88515
327.0382	1	B2	0	1	0.93686
333.0756	1	B4	0	1	1.2196
335.1148	1	B3	0	1	0.85812
337.1539	1	B5	0	1	0.96489
341.1922	1	B2	0	1	0.95176
347.2296	1	B5	90	1	1.3612
349.2687	1	B3	90	1	1.4274
353.307	1	B5	0	1	1.4345
355.3461	1	C1	0	1	1.3066
359.3844	1	C4	0	1	1.3406
363.4227	1	C5	0	1	1.1497
367.461	1	C2	0	1	1.1619
369.5001	1	C3	0	1	1.0336
373.5384	1	C5	0	1	1.0377
379.5758	1	A1	0	1	1.3985
383.6141	1	A3	0	1	1.2572
385.6532	1	A4	90	1	1.0294
391.6907	1	A5	0	1	1.1493
393.7298	1	B1	0	1	0.97435
397.7681	1	B2	0	1	0.91103
399.8072	1	B3	0	n/a	n/a
