onset	duration	item	rotation	accuracy	reaction_time
10.0448	1	C1	0	1	1.4729
14.0964	1	B5	0	1	1.078
18.1346	1	C1	0	1	1.4074
20.1738	1	C3	0	1	1.0335
24.2121	1	C4	0	1	0.90524
28.2503	1	C1	0	1	1.0377
30.2895	1	C2	0	1	0.96427
34.3278	1	C4	90	1	1.1744
38.366	1	C3	0	1	0.91386
44.4035	1	C1	0	1	1.0915
48.4417	1	C2	0	1	0.95587
52.48	1	C5	0	1	0.96694
56.5183	1	C2	0	1	0.8151
60.5566	1	C3	0	1	0.86584
62.5957	1	C1	0	1	1.1248
66.634	1	B5	0	1	1.0294
68.6731	1	B4	0	1	0.932
72.7114	1	B3	0	1	1.046
74.7505	1	B2	0	1	0.91262
78.7888	1	B1	90	1	1.281
82.8271	1	A5	0	1	1.2107
88.8645	1	A4	0	1	1.0958
90.9036	1	A3	0	1	1.1113
92.9428	1	A2	0	1	0.99936
98.9802	1	A1	0	1	1.1321
105.0176	1	C5	90	1	1.075
107.0568	1	C4	0	1	0.98241
113.0942	1	C3	0	1	0.93638
119.1316	1	C2	90	1	1.0751
121.1707	1	C1	0	1	1.3242
125.209	1	C4	0	1	0.86139
127.2482	1	C5	0	1	0.79786
133.2856	1	A1	0	1	0.89508
135.3247	1	A4	0	1	1.0294
139.363	1	A1	0	1	0.83684
143.4013	1	A3	0	1	0.84581
145.4404	1	A5	0	1	0.9163
147.4795	1	A3	0	1	0.84498
153.517	1	A2	0	1	0.83283
155.5561	1	A1	90	1	1.0295
157.5952	1	A3	90	1	0.82615
161.6335	1	A4	0	1	0.9171
163.6726	1	A5	0	1	0.84647
165.7118	1	A2	0	1	0.83043
169.75	1	A4	0	1	0.84254
171.7892	1	A3	0	1	0.79956
175.8275	1	A2	0	1	0.87533
179.8657	1	A1	0	1	1.0378
185.9032	1	C5	0	1	1.1495
191.9406	1	C4	0	1	0.921
195.9789	1	C3	0	1	0.90903
198.018	1	C2	0	1	0.98831
204.0554	1	C1	90	1	1.0708
208.0937	1	B5	0	1	0.77813
210.1328	1	B4	0	1	0.85567
214.1711	1	B3	0	1	0.7654
218.2094	1	B2	0	1	0.90312
224.2468	1	B1	0	1	0.9111
228.2851	1	A5	0	1	0.96974
234.3225	1	A4	0	1	0.92332
240.36	1	A1	0	1	0.86985
246.3974	1	C5	0	1	0.80152
248.4365	1	C3	0	1	1.5145
252.4748	1	C2	0	1	0.84187
254.5139	1	C1	0	1	1.2749
256.5531	1	C3	0	1	0.87792
258.5922	1	C1	0	1	1.071
264.6296	1	B5	0	1	0.99169
270.667	1	B2	0	1	0.87559
276.7045	1	B5	0	1	0.80442
278.7436	1	B4	0	1	0.74216
284.781	1	B5	0	1	0.71258
286.8202	1	B2	90	1	0.92047
288.8593	1	B1	0	1	0.84997
294.8967	1	B4	0	1	0.71831
298.935	1	B3	0	1	0.92068
300.9741	1	B2	90	1	1.1204
305.0124	1	B1	0	1	0.85683
307.0515	1	A5	0	1	0.95694
313.089	1	A4	0	1	1.4074
319.1264	1	A3	0	1	0.98382
323.1647	1	A2	0	1	0.80029
327.203	1	A1	0	1	0.8822
331.2412	1	C5	0	1	0.84587
335.2795	1	C4	0	1	0.86991
337.3186	1	C3	0	1	0.95795
341.3569	1	C2	90	1	1.5279
345.3952	1	C1	0	1	1.1958
351.4326	1	B5	90	1	0.83753
353.4718	1	B4	0	1	0.91986
357.51	1	B1	0	1	0.80837
359.5492	1	B2	0	1	0.77546
361.5883	1	B5	0	1	0.73649
365.6266	1	B4	0	1	0.8909
371.664	1	B3	0	1	1.0626
373.7031	1	B2	0	1	1.2868
377.7414	1	B1	0	1	0.68102
379.7805	1	B2	0	1	0.88125
385.818	1	B1	90	1	1.0626
387.8571	1	B4	0	1	1.4283
391.8954	1	B2	0	1	0.81399
393.9345	1	B5	0	1	0.81559
397.9728	1	B2	90	1	0.86606
400.0119	1	B3	0	1	0.75456
402.0511	1	B5	0	1	0.74003
408.0885	1	C1	0	1	1.358
412.1268	1	C2	0	1	0.99984
416.165	1	C3	0	1	0.90534
420.2033	1	C4	0	1	0.81036
422.2425	1	C5	0	1	1.0296
424.2816	1	A1	0	1	1.0377
428.3199	1	A2	0	1	1.2382
432.3581	1	A3	0	1	0.76217
436.3964	1	A4	0	1	0.85833
438.4356	1	A5	0	1	1.0293
442.4738	1	B1	0	1	0.85229
444.513	1	B2	0	1	0.82941
446.5521	1	B3	90	1	1.0377
450.5904	1	B4	0	1	0.81427
456.6278	1	B5	0	1	0.90643
460.6661	1	B3	0	1	1.0378
464.7044	1	B4	0	1	0.79652
468.7426	1	B1	0	1	0.75956
472.7809	1	B2	0	1	0.84206
476.8192	1	B5	0	1	0.7332
478.8583	1	B3	0	1	0.91556
480.8975	1	B5	0	1	0.71598
486.9349	1	B2	0	1	0.89671
488.974	1	B1	0	1	0.93806
493.0123	1	B4	0	1	0.8823
497.0506	1	B2	90	1	0.81902
499.0897	1	B4	0	1	0.82976
503.128	1	B1	0	1	0.9912
509.1654	1	A5	0	1	1.3612
513.2037	1	A2	0	1	0.82574
515.2428	1	A3	0	1	0.77234
521.2803	1	A4	0	1	1.0877
527.3177	1	A5	0	1	0.77888
529.3568	1	B1	0	1	1.2249
535.3942	1	B2	90	1	0.95588
541.4317	1	B3	90	1	1.0794
547.4691	1	B4	90	1	0.87259
551.5074	1	B5	0	1	0.86691
553.5465	1	C1	0	1	0.8689
555.5856	1	C2	0	1	0.93991
